Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1805.200,2.447,0.879,1.817,2.275,2.782,3.248,3.599,4.931,81.657,0.409
5,1991.600,2.233,0.917,1.746,2.188,2.658,3.067,3.331,3.773,6.861,0.448
10,1926.400,2.294,0.871,1.760,2.209,2.709,3.158,3.466,4.468,13.589,0.436
15,1790.000,2.591,0.915,1.848,2.352,2.938,3.852,4.989,7.014,11.767,0.386
20,1936.600,2.324,0.757,1.765,2.232,2.717,3.194,3.509,5.281,10.731,0.430
25,2006.000,2.243,0.790,1.752,2.189,2.670,3.079,3.339,3.924,8.242,0.446
30,1953.600,2.243,0.837,1.763,2.203,2.662,3.096,3.345,3.838,5.942,0.446
35,1990.200,2.280,0.838,1.783,2.226,2.713,3.132,3.387,3.891,7.126,0.439
40,1963.200,2.269,0.904,1.760,2.221,2.699,3.133,3.396,3.952,5.557,0.441
45,1968.800,2.239,0.896,1.765,2.195,2.672,3.054,3.289,3.705,5.577,0.447
50,1990.200,2.263,0.885,1.767,2.217,2.701,3.109,3.349,3.794,6.380,0.442
55,1994.200,2.248,0.841,1.751,2.206,2.689,3.094,3.326,3.740,5.587,0.445
