Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,170.800,0.469,0.206,0.315,0.381,0.496,0.749,0.951,1.501,7.903,2.134
5,181.800,0.346,0.173,0.292,0.333,0.390,0.447,0.495,0.591,0.772,2.887
10,172.600,0.337,0.194,0.278,0.321,0.381,0.446,0.493,0.570,0.777,2.969
15,156.200,0.329,0.170,0.276,0.317,0.368,0.427,0.472,0.547,0.684,3.039
20,163.600,0.324,0.194,0.272,0.311,0.361,0.420,0.457,0.511,2.522,3.088
25,171.800,0.326,0.180,0.272,0.309,0.357,0.418,0.464,0.559,3.206,3.071
30,175.400,0.321,0.174,0.271,0.310,0.357,0.422,0.464,0.555,0.623,3.112
35,176.600,0.319,0.170,0.265,0.307,0.363,0.417,0.448,0.529,0.877,3.133
40,177.400,0.320,0.177,0.263,0.307,0.361,0.420,0.466,0.555,0.936,3.129
45,174.000,0.315,0.177,0.265,0.305,0.355,0.410,0.441,0.496,0.654,3.179
50,165.200,0.315,0.179,0.265,0.303,0.354,0.411,0.449,0.532,0.696,3.171
55,173.600,0.310,0.169,0.261,0.298,0.346,0.403,0.439,0.524,0.906,3.227
