Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1726.400,0.697,0.319,0.531,0.609,0.715,0.839,0.970,1.615,70.294,1.435
5,1907.200,0.591,0.311,0.505,0.569,0.658,0.751,0.808,0.945,3.345,1.691
10,1807.800,0.601,0.322,0.510,0.577,0.674,0.766,0.826,0.977,3.651,1.663
15,1768.400,0.676,0.349,0.578,0.656,0.752,0.858,0.918,1.074,2.996,1.478
20,1855.400,0.624,0.308,0.517,0.601,0.708,0.810,0.887,1.042,3.052,1.603
25,1871.000,0.589,0.320,0.503,0.568,0.653,0.749,0.806,0.943,3.470,1.698
30,1844.400,0.590,0.322,0.505,0.570,0.662,0.753,0.805,0.911,1.271,1.696
35,1892.600,0.596,0.316,0.509,0.574,0.669,0.761,0.816,0.937,3.099,1.677
40,1856.600,0.599,0.332,0.509,0.576,0.669,0.767,0.826,0.967,1.726,1.670
45,1882.400,0.588,0.320,0.506,0.569,0.655,0.741,0.792,0.895,3.055,1.701
50,1899.200,0.595,0.294,0.511,0.578,0.662,0.752,0.803,0.921,2.961,1.681
55,1912.600,0.592,0.295,0.508,0.572,0.662,0.749,0.798,0.897,2.859,1.690
