Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,163.800,20.730,15.239,18.180,19.663,21.760,24.145,26.021,57.015,118.033,0.048
5,174.400,19.400,15.850,17.915,19.006,20.584,22.245,23.404,25.820,27.127,0.052
10,180.400,19.296,15.707,17.767,18.956,20.415,21.941,23.752,25.644,27.446,0.052
15,156.800,19.950,16.179,18.272,19.599,21.099,23.164,24.265,26.210,33.655,0.050
20,171.200,19.587,14.934,17.940,19.214,20.853,22.731,24.152,26.320,30.424,0.051
25,175.400,19.217,15.171,17.851,18.878,20.200,21.637,22.877,25.424,28.206,0.052
30,183.000,19.214,15.092,17.761,18.804,20.259,21.990,23.076,25.536,28.216,0.052
35,170.200,19.305,15.319,17.862,18.928,20.318,22.121,23.351,25.939,28.498,0.052
40,177.400,19.139,15.444,17.720,18.711,20.082,21.996,23.204,26.142,28.038,0.052
45,185.400,18.901,15.182,17.667,18.583,19.691,21.245,22.527,24.749,27.734,0.053
50,173.600,18.976,15.807,17.633,18.534,19.911,21.321,22.691,25.280,32.485,0.053
55,178.200,18.962,15.586,17.593,18.587,19.894,21.308,22.688,25.355,27.410,0.053
