Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4016.800,2.486,0.206,0.608,1.442,2.521,3.641,6.365,22.091,118.033,0.402
5,4434.400,2.252,0.173,0.566,1.360,2.404,3.365,5.747,20.548,27.127,0.444
10,4259.000,2.342,0.194,0.575,1.416,2.461,3.576,6.101,20.523,27.446,0.427
15,4038.000,2.473,0.170,0.650,1.416,2.601,4.917,6.575,21.063,33.655,0.404
20,4296.000,2.325,0.194,0.598,1.392,2.459,3.552,6.045,20.848,30.424,0.430
25,4403.000,2.268,0.180,0.567,1.403,2.428,3.383,5.723,20.188,28.206,0.441
30,4332.200,2.305,0.174,0.568,1.400,2.420,3.438,5.926,20.360,28.216,0.434
35,4409.800,2.265,0.170,0.571,1.406,2.451,3.412,5.748,20.252,28.498,0.442
40,4350.600,2.296,0.177,0.573,1.396,2.448,3.451,5.923,20.101,28.038,0.436
45,4382.000,2.282,0.177,0.566,1.392,2.415,3.356,5.876,19.772,27.734,0.438
50,4413.400,2.262,0.179,0.576,1.407,2.451,3.408,5.811,19.896,32.485,0.442
55,4430.200,2.252,0.169,0.569,1.373,2.431,3.346,5.798,19.902,27.410,0.444
