Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.400,450.163,450.060,450.060,450.266,450.266,450.266,450.266,450.266,450.266,0.002
5,0.400,454.538,439.043,439.043,470.032,470.032,470.032,470.032,470.032,470.032,0.002
10,0.200,720.615,720.615,720.615,720.615,720.615,720.615,720.615,720.615,720.615,0.001
15,0.400,886.188,652.717,652.717,1119.658,1119.658,1119.658,1119.658,1119.658,1119.658,0.001
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.200,494.310,494.310,494.310,494.310,494.310,494.310,494.310,494.310,494.310,0.002
30,0.400,436.720,377.828,377.828,495.611,495.611,495.611,495.611,495.611,495.611,0.002
35,0.600,422.095,410.360,410.360,411.330,444.595,444.595,444.595,444.595,444.595,0.002
40,0.400,484.613,478.073,478.073,491.153,491.153,491.153,491.153,491.153,491.153,0.002
45,0.400,504.937,413.884,413.884,595.990,595.990,595.990,595.990,595.990,595.990,0.002
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
