Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.400,875.411,228.459,547.497,1042.649,1171.328,1193.004,1305.442,1339.584,1339.584,0.001
5,0.400,499.700,324.664,324.664,674.736,674.736,674.736,674.736,674.736,674.736,0.002
10,2.000,632.952,276.965,468.350,585.493,734.674,1111.027,1111.027,1111.027,1111.027,0.002
15,1.000,835.173,385.088,718.815,762.271,1120.049,1189.642,1189.642,1189.642,1189.642,0.001
20,2.200,767.234,339.276,434.738,540.021,1357.781,1453.770,1592.683,1592.683,1592.683,0.001
25,5.000,819.384,244.773,585.150,960.708,1079.084,1149.508,1169.421,1169.959,1169.959,0.001
30,4.600,760.590,288.144,515.981,781.957,1042.357,1065.625,1067.467,1072.959,1072.959,0.001
35,4.600,710.536,226.308,383.734,822.859,945.912,1048.413,1072.205,1184.219,1184.219,0.001
40,4.400,719.062,277.853,455.494,718.285,948.846,1090.750,1092.635,1101.857,1101.857,0.001
45,3.400,882.167,347.827,701.544,1034.649,1134.141,1208.365,1260.804,1260.804,1260.804,0.001
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
