Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1744600467.395285,5498,3,1
2,Payment,1744600467.400770,58409,1,1
3,OrderStatus,1744600467.400880,94442,3,1
1,NewOrder,1744600467.413147,3143,2,1
1,NewOrder,1744600467.413977,3383,9,1
2,Payment,1744600467.416311,1198,2,1
2,Payment,1744600467.417382,56267,9,1
2,Payment,1744600467.417519,1305,2,1
5,StockLevel,1744600467.418849,4855,2,1
3,OrderStatus,1744600467.419004,22170,7,1
2,Payment,1744600467.423732,41601,2,1
1,NewOrder,1744600467.424170,3265,5,1
2,Payment,1744600467.427457,44114,5,1
2,Payment,1744600467.429119,63546,4,1
1,NewOrder,1744600467.431447,1768,6,1
1,NewOrder,1744600467.433152,3306,8,1
2,Payment,1744600467.433230,38236,6,1
2,Payment,1744600467.436480,1036,8,1
2,Payment,1744600467.437534,613,8,1
2,Payment,1744600467.438160,865,8,1
1,NewOrder,1744600467.439039,1334,8,1
2,Payment,1744600467.440387,43848,8,1
1,NewOrder,1744600467.441194,4040,7,1
1,NewOrder,1744600467.445258,3568,7,1
2,Payment,1744600467.448853,46402,7,1
2,Payment,1744600467.459208,46371,1,1
5,StockLevel,1744600467.465358,3282,2,1
5,StockLevel,1744600467.468661,1739,2,1
1,NewOrder,1744600467.470429,5006,2,1
1,NewOrder,1744600467.471482,3353,6,1
1,NewOrder,1744600467.471588,4345,5,1
2,Payment,1744600467.473667,51268,9,1
2,Payment,1744600467.474851,43300,6,1
2,Payment,1744600467.475455,60696,2,1
1,NewOrder,1744600467.475943,3975,5,1
1,NewOrder,1744600467.479936,3795,5,1
4,Delivery,1744600467.483750,153870,5,1
1,NewOrder,1744600467.484249,3877,8,1
1,NewOrder,1744600467.488151,2639,8,1
3,OrderStatus,1744600467.490815,71748,8,1
3,OrderStatus,1744600467.492683,24619,4,1
2,Payment,1744600467.495274,837,7,1
1,NewOrder,1744600467.495350,3001,3,1
2,Payment,1744600467.496123,46544,7,1
2,Payment,1744600467.498376,80910,3,1
2,Payment,1744600467.499736,1067,0,1
1,NewOrder,1744600467.500820,2023,0,1
2,Payment,1744600467.502863,1092,0,1
1,NewOrder,1744600467.503971,3259,0,1
5,StockLevel,1744600467.505597,4921,1,1
1,NewOrder,1744600467.507285,3426,0,1
2,Payment,1744600467.510546,971,1,1
2,Payment,1744600467.510743,42214,0,1
2,Payment,1744600467.511530,43510,1,1
2,Payment,1744600467.517326,1183,4,1
1,NewOrder,1744600467.518170,5581,6,1
1,NewOrder,1744600467.518525,3995,4,1
2,Payment,1744600467.522550,1207,4,1
1,NewOrder,1744600467.523773,4872,6,1
5,StockLevel,1744600467.523775,2802,4,1
2,Payment,1744600467.524991,45543,9,1
1,NewOrder,1744600467.526600,5069,4,1
1,NewOrder,1744600467.528667,3273,6,1
1,NewOrder,1744600467.531695,3644,4,1
2,Payment,1744600467.531955,1379,6,1
1,NewOrder,1744600467.533347,2995,6,1
2,Payment,1744600467.535357,46673,4,1
4,Delivery,1744600467.536157,122533,2,1
2,Payment,1744600467.536361,46075,6,1
1,NewOrder,1744600467.542687,1782,7,1
2,Payment,1744600467.544486,44107,7,1
2,Payment,1744600467.552977,39923,0,1
1,NewOrder,1744600467.555058,3666,1,1
1,NewOrder,1744600467.558752,3730,1,1
1,NewOrder,1744600467.562505,3410,1,1
2,Payment,1744600467.562580,44221,8,1
1,NewOrder,1744600467.565938,4079,1,1
2,Payment,1744600467.570042,52855,1,1
2,Payment,1744600467.570547,43994,9,1
4,Delivery,1744600467.579313,149641,3,1
1,NewOrder,1744600467.582048,2156,4,1
1,NewOrder,1744600467.582457,2675,6,1
2,Payment,1744600467.584226,45786,4,1
1,NewOrder,1744600467.585148,3048,6,1
2,Payment,1744600467.588217,42043,6,1
2,Payment,1744600467.588606,43111,7,1
2,Payment,1744600467.592923,879,0,1
2,Payment,1744600467.593828,875,0,1
