Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.600,145.083,85.671,126.849,135.382,157.997,178.095,204.808,274.834,274.834,0.007
5,17.800,139.726,121.756,125.493,129.403,148.000,173.324,180.476,230.217,230.217,0.007
10,17.400,144.747,118.643,123.541,130.218,148.618,177.498,195.802,465.834,465.834,0.007
15,17.200,145.762,119.173,125.319,134.627,156.444,183.262,198.612,320.701,320.701,0.007
20,17.000,136.772,118.303,122.787,127.796,145.874,165.197,176.466,200.535,200.535,0.007
25,18.000,143.754,118.109,122.499,125.149,156.217,199.169,207.923,263.736,263.736,0.007
30,18.600,142.644,119.722,123.810,129.566,152.887,179.124,197.878,339.203,339.203,0.007
35,17.200,149.458,117.797,125.366,135.060,163.864,196.061,205.416,281.488,281.488,0.007
40,16.400,143.376,118.806,124.777,132.573,154.739,184.656,202.506,241.993,241.993,0.007
45,15.000,146.762,120.612,123.586,127.141,157.948,197.810,204.422,303.084,303.084,0.007
50,17.400,142.444,118.406,123.953,129.535,146.325,176.684,207.373,305.706,305.706,0.007
55,15.800,139.878,118.406,122.532,126.101,151.351,168.816,198.327,312.348,312.348,0.007
60,3.200,133.647,119.435,123.033,123.725,141.467,169.346,180.057,180.057,180.057,0.007
