Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,206.000,2.668,1.006,1.922,2.471,3.136,4.219,4.756,5.498,6.815,0.375
5,211.400,2.417,1.043,1.733,2.229,2.820,3.743,4.350,5.205,11.998,0.414
10,189.800,2.371,1.022,1.716,2.204,2.741,3.712,4.239,5.087,5.355,0.422
15,198.400,2.423,0.977,1.741,2.257,2.820,3.854,4.314,5.052,6.937,0.413
20,210.200,2.383,1.048,1.727,2.206,2.807,3.645,4.123,5.034,5.840,0.420
25,224.200,2.232,0.970,1.641,2.067,2.580,3.445,3.993,4.806,6.776,0.448
30,208.400,2.286,0.873,1.659,2.137,2.661,3.521,4.108,4.792,6.655,0.437
35,189.800,2.368,0.938,1.707,2.203,2.785,3.582,4.228,4.982,5.660,0.422
40,226.800,2.276,0.982,1.655,2.124,2.585,3.522,4.102,4.798,5.838,0.439
45,217.400,2.236,0.984,1.623,2.086,2.583,3.479,4.029,4.621,5.407,0.447
50,210.000,2.324,0.988,1.679,2.101,2.781,3.694,4.062,4.851,5.796,0.430
55,220.200,2.266,1.033,1.600,2.099,2.641,3.639,4.126,4.767,5.403,0.441
60,47.200,2.207,1.075,1.632,2.084,2.551,3.394,4.108,4.534,4.686,0.453
