Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,455,455.000,564,2023,3383,21766,44198,56267,79287,151623,168279
1,467,467.000,585,1782,2704,21837,44195,53822,93303,170769,274834
2,418,418.000,505,1721,3007,23584,44776,57737,84513,157280,206096
3,443,443.000,490,1584,2604,23447,44346,61101,120640,159220,186625
4,491,491.000,433,1524,2533,19680,43939,52131,80551,157997,224930
5,465,465.000,426,1582,2710,21357,43779,56841,80714,145423,214676
6,498,498.000,462,1535,2463,20061,44029,55627,78716,135844,180476
7,417,417.000,417,1486,2423,24329,44281,69479,124898,157494,230217
8,474,474.000,441,1527,2389,20861,43811,56941,81493,131144,179025
9,470,470.000,455,1454,2471,21351,44171,54442,79724,140488,200529
10,472,472.000,498,1462,2513,21130,44415,54104,80386,154290,177923
11,441,441.000,379,1428,2476,22343,44405,63039,80274,136560,170387
12,385,385.000,434,1596,2830,25965,45265,70769,120791,139788,195268
13,471,471.000,426,1514,2394,21718,43916,61339,81445,148262,256897
14,398,398.000,429,1441,2512,24890,44835,64010,83118,190436,465834
15,453,453.000,471,1488,2561,22122,44092,59648,79381,150623,194525
16,449,449.000,388,1466,2748,22520,43979,59591,83744,139573,200146
17,466,466.000,466,1409,2511,21657,43682,52744,95800,140132,320701
18,421,421.000,437,1469,2383,23697,44091,59843,125319,162843,243894
19,489,489.000,422,1472,2552,20111,44282,52088,78504,156862,185378
20,432,432.000,482,1707,2763,22799,44416,62461,79310,145426,166993
21,494,494.000,471,1437,2326,20612,43716,62141,79794,142129,181193
22,447,447.000,443,1540,2689,22103,43930,61572,78948,125352,148476
23,432,432.000,448,1571,2807,23306,43801,62201,118484,165197,200535
24,489,489.000,446,1453,2458,20276,43769,52900,78855,145874,184332
25,503,503.000,451,1436,2178,19945,43718,48350,75864,185795,251880
26,478,478.000,411,1293,2097,20769,43386,61006,79033,153891,200716
27,512,512.000,495,1373,2165,19562,43749,56139,78755,125149,148082
28,488,488.000,410,1297,2283,20681,43929,54265,78312,162812,239405
29,488,488.000,404,1579,2546,20343,43491,53914,79983,161403,263736
30,496,496.000,404,1435,2275,20538,43427,54153,79617,139800,198441
31,465,465.000,416,1504,2399,21550,43888,62377,83200,148417,339203
32,411,411.000,420,1587,2526,23533,44058,61776,120014,156892,198161
33,439,439.000,419,1514,2548,23054,44047,59808,80918,162863,190009
34,491,491.000,407,1386,2271,20419,43881,51066,78308,172629,200054
35,421,421.000,398,1546,2810,24082,44548,64021,80547,155284,281488
36,426,426.000,435,1608,2621,23203,44317,61903,83548,180852,203535
37,466,466.000,392,1440,2379,21189,43916,57191,76794,132319,261820
38,430,430.000,424,1518,2412,23312,44380,55428,85180,195254,226307
39,436,436.000,430,1529,2643,22814,43990,59063,96057,154995,195023
40,506,506.000,409,1418,2286,19909,43828,61799,78641,134666,177745
41,511,511.000,412,1372,2269,19751,43757,52296,79685,147676,202506
42,460,460.000,465,1481,2476,21768,43836,62268,79916,154586,241993
43,482,482.000,411,1554,2405,20577,43795,53755,76884,145693,193438
44,490,490.000,437,1407,2211,20177,43705,49302,79043,156230,233279
45,494,494.000,431,1518,2381,20255,43893,52841,74798,132123,198760
46,497,497.000,425,1477,2412,20422,43705,49635,78707,151417,200083
47,444,444.000,394,1358,2309,22053,43795,57052,79151,157948,303084
48,503,503.000,429,1376,2228,20122,43922,54023,78378,142394,198563
49,459,459.000,394,1429,2272,22027,44013,57128,81220,146360,269184
50,440,440.000,467,1449,2575,22553,43867,67994,84912,140072,293328
51,504,504.000,400,1512,2408,19903,43604,51614,79091,130484,250102
52,428,428.000,424,1606,2374,23179,43895,62515,83347,133465,305706
53,485,485.000,418,1438,2299,20470,43477,55304,80736,143822,249675
54,463,463.000,399,1483,2563,21980,44332,59081,81659,158346,207373
55,514,514.000,396,1440,2259,18906,43686,47152,78485,129677,180976
56,483,483.000,421,1400,2400,20923,43379,61754,79382,154364,198327
57,473,473.000,381,1314,2214,21028,43326,62378,79017,123846,188334
58,461,461.000,465,1466,2579,21754,43878,61995,79709,150774,312348
59,463,463.000,459,1572,2348,21941,43993,57138,79172,161933,277074
60,483,483.000,414,1465,2225,19128,43205,55448,78370,133148,180057
