Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1744394338.023730,10711,3,1
2,Payment,1744394338.023778,737,9,1
2,Payment,1744394338.024321,4738,6,1
2,Payment,1744394338.024330,3522,5,1
2,Payment,1744394338.024584,5315,9,1
2,Payment,1744394338.027560,2130,4,1
5,StockLevel,1744394338.027704,1575,0,1
2,Payment,1744394338.027867,859,5,1
1,NewOrder,1744394338.027909,4441,2,1
2,Payment,1744394338.028023,2926,1,1
2,Payment,1744394338.028076,2747,8,1
1,NewOrder,1744394338.028743,3454,5,1
1,NewOrder,1744394338.029072,2135,6,1
2,Payment,1744394338.029299,1384,0,1
2,Payment,1744394338.029716,1994,4,1
1,NewOrder,1744394338.029913,3074,9,1
1,NewOrder,1744394338.030698,2879,0,1
1,NewOrder,1744394338.030839,2719,8,1
2,Payment,1744394338.030962,3438,1,1
1,NewOrder,1744394338.031222,4008,6,1
4,Delivery,1744394338.031724,6922,4,1
1,NewOrder,1744394338.032210,3595,5,1
2,Payment,1744394338.032362,970,2,1
1,NewOrder,1744394338.032469,1979,7,1
1,NewOrder,1744394338.032999,1637,9,1
2,Payment,1744394338.033341,781,2,1
1,NewOrder,1744394338.033580,3294,8,1
2,Payment,1744394338.033595,1476,0,1
4,Delivery,1744394338.034143,7116,2,1
1,NewOrder,1744394338.034415,3785,1,1
1,NewOrder,1744394338.034454,3140,3,1
2,Payment,1744394338.034464,1545,7,1
2,Payment,1744394338.034651,2231,9,1
1,NewOrder,1744394338.035083,3282,0,1
2,Payment,1744394338.035242,2551,6,1
1,NewOrder,1744394338.035816,2250,5,1
1,NewOrder,1744394338.036020,6334,7,1
3,OrderStatus,1744394338.036888,522,8,1
1,NewOrder,1744394338.036893,5361,9,1
1,NewOrder,1744394338.037422,4271,8,1
2,Payment,1744394338.037605,1153,3,1
3,OrderStatus,1744394338.037804,729,6,1
5,StockLevel,1744394338.038074,1284,5,1
2,Payment,1744394338.038212,2476,1,1
1,NewOrder,1744394338.038380,3313,0,1
2,Payment,1744394338.038541,1129,6,1
1,NewOrder,1744394338.038663,2679,4,1
1,NewOrder,1744394338.038773,2497,3,1
2,Payment,1744394338.039369,1180,5,1
1,NewOrder,1744394338.039681,2960,6,1
2,Payment,1744394338.040561,699,5,1
1,NewOrder,1744394338.040704,2605,1,1
2,Payment,1744394338.041269,663,5,1
3,OrderStatus,1744394338.041286,772,2,1
1,NewOrder,1744394338.041287,3134,3,1
2,Payment,1744394338.041355,2105,4,1
1,NewOrder,1744394338.041711,3135,0,1
1,NewOrder,1744394338.041741,1828,8,1
2,Payment,1744394338.041944,664,5,1
1,NewOrder,1744394338.042069,3456,2,1
2,Payment,1744394338.042266,1926,9,1
2,Payment,1744394338.042363,1815,7,1
2,Payment,1744394338.042620,672,5,1
1,NewOrder,1744394338.042655,2749,6,1
1,NewOrder,1744394338.043308,3476,5,1
2,Payment,1744394338.043321,1611,1,1
2,Payment,1744394338.043470,619,4,1
2,Payment,1744394338.043579,2193,8,1
3,OrderStatus,1744394338.044099,534,4,1
2,Payment,1744394338.044191,2563,7,1
1,NewOrder,1744394338.044205,2107,9,1
3,OrderStatus,1744394338.044441,566,3,1
1,NewOrder,1744394338.044641,2479,4,1
1,NewOrder,1744394338.044857,2774,0,1
1,NewOrder,1744394338.044945,2380,1,1
2,Payment,1744394338.045018,2332,3,1
1,NewOrder,1744394338.045417,2209,6,1
1,NewOrder,1744394338.045543,3934,2,1
2,Payment,1744394338.045782,772,8,1
2,Payment,1744394338.046325,1877,9,1
1,NewOrder,1744394338.046566,2876,8,1
1,NewOrder,1744394338.046766,3195,7,1
1,NewOrder,1744394338.046797,2214,5,1
3,OrderStatus,1744394338.047137,553,4,1
2,Payment,1744394338.047338,715,1,1
2,Payment,1744394338.047364,1599,3,1
1,NewOrder,1744394338.047638,3192,6,1
3,OrderStatus,1744394338.047644,381,0,1
2,Payment,1744394338.047702,2209,4,1
1,NewOrder,1744394338.048037,3995,0,1
2,Payment,1744394338.048065,2809,1,1
2,Payment,1744394338.048216,1531,9,1
1,NewOrder,1744394338.048976,3339,3,1
1,NewOrder,1744394338.049025,2793,5,1
2,Payment,1744394338.049455,2289,8,1
1,NewOrder,1744394338.049481,3640,2,1
1,NewOrder,1744394338.049761,3229,9,1
1,NewOrder,1744394338.049929,4154,4,1
2,Payment,1744394338.049969,711,7,1
1,NewOrder,1744394338.050694,3750,7,1
2,Payment,1744394338.050841,766,6,1
2,Payment,1744394338.050887,2531,1,1
2,Payment,1744394338.051621,735,6,1
1,NewOrder,1744394338.051755,2859,8,1
1,NewOrder,1744394338.051831,3157,5,1
2,Payment,1744394338.052041,1240,0,1
1,NewOrder,1744394338.052333,3576,3,1
1,NewOrder,1744394338.052369,3741,6,1
1,NewOrder,1744394338.053004,2664,9,1
3,OrderStatus,1744394338.053134,571,2,1
2,Payment,1744394338.053306,787,0,1
2,Payment,1744394338.053432,2491,1,1
1,NewOrder,1744394338.053717,3924,2,1
2,Payment,1744394338.054105,938,4,1
2,Payment,1744394338.054108,2882,0,1
1,NewOrder,1744394338.054452,2658,7,1
2,Payment,1744394338.054628,2345,8,1
1,NewOrder,1744394338.055001,2315,5,1
2,Payment,1744394338.055062,2729,4,1
2,Payment,1744394338.055682,2111,9,1
