Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,917.600,2.687,0.471,0.974,1.964,2.959,7.098,8.729,10.061,11.258,0.372
5,558.600,4.467,0.469,2.194,3.238,7.153,9.013,9.495,10.337,16.378,0.224
10,507.800,5.177,0.529,2.782,4.293,7.894,9.320,9.805,10.381,22.394,0.193
15,478.600,5.124,0.417,2.753,4.077,7.922,9.206,9.611,10.254,14.519,0.195
20,487.600,5.243,0.501,2.780,4.480,8.195,9.327,9.708,10.342,11.865,0.191
25,502.200,4.917,0.506,2.654,3.817,7.643,9.126,9.669,10.305,13.251,0.203
30,564.000,4.264,0.456,2.038,3.119,6.799,8.978,9.526,10.287,18.714,0.235
35,459.800,5.073,0.452,2.760,3.797,7.864,9.155,9.647,10.372,11.415,0.197
40,460.800,5.413,0.482,2.897,4.880,8.177,9.299,9.754,10.369,19.486,0.185
45,470.600,5.314,0.499,2.850,4.654,8.163,9.369,9.675,10.378,11.215,0.188
50,473.800,5.421,0.538,2.886,4.866,8.277,9.358,9.777,10.502,11.996,0.184
55,536.400,4.816,0.462,2.523,3.559,7.722,9.205,9.735,10.435,16.783,0.208
60,79.400,5.671,2.121,3.005,5.551,8.325,9.289,9.679,10.289,11.087,0.176
