Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,168.000,0.441,0.175,0.348,0.417,0.507,0.602,0.685,0.896,1.390,2.266
5,157.400,0.456,0.179,0.339,0.430,0.538,0.669,0.778,0.940,1.349,2.191
10,168.400,0.416,0.182,0.312,0.399,0.501,0.585,0.660,0.782,0.894,2.407
15,184.800,0.415,0.192,0.297,0.388,0.495,0.593,0.679,0.872,2.676,2.411
20,174.000,0.413,0.185,0.297,0.390,0.492,0.603,0.684,0.835,1.315,2.421
25,180.400,0.391,0.164,0.282,0.367,0.478,0.570,0.627,0.743,0.923,2.556
30,173.000,0.398,0.160,0.286,0.369,0.473,0.565,0.666,0.915,1.906,2.515
35,172.600,0.396,0.170,0.293,0.371,0.478,0.565,0.635,0.800,1.141,2.528
40,166.800,0.397,0.175,0.283,0.359,0.456,0.555,0.638,0.867,7.667,2.521
45,170.600,0.386,0.183,0.274,0.346,0.455,0.571,0.648,0.909,3.871,2.593
50,169.600,0.399,0.179,0.274,0.347,0.475,0.590,0.696,1.136,2.107,2.507
55,169.000,0.392,0.170,0.272,0.348,0.473,0.603,0.692,0.870,2.152,2.548
60,40.000,0.384,0.190,0.273,0.335,0.457,0.572,0.668,0.823,2.151,2.604
