Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4263.800,2.339,0.175,0.632,1.405,2.504,3.560,6.083,20.649,28.129,0.427
5,4029.200,2.476,0.179,0.635,1.478,2.609,4.247,6.664,21.019,37.800,0.404
10,4273.200,2.338,0.182,0.594,1.405,2.462,3.636,6.189,19.922,34.619,0.428
15,4381.200,2.277,0.192,0.591,1.372,2.470,3.556,6.009,19.626,31.573,0.439
20,4310.000,2.317,0.185,0.590,1.399,2.499,3.695,6.093,19.785,33.587,0.432
25,4357.000,2.293,0.164,0.590,1.387,2.468,3.540,6.123,19.460,29.782,0.436
30,4275.600,2.336,0.160,0.605,1.417,2.513,3.832,6.284,19.804,34.535,0.428
35,4316.000,2.314,0.170,0.603,1.425,2.517,3.665,6.137,19.601,28.948,0.432
40,4254.800,2.349,0.175,0.600,1.413,2.521,3.758,6.303,19.666,29.292,0.426
45,4242.200,2.355,0.183,0.603,1.439,2.541,3.836,6.303,19.426,39.605,0.425
50,4182.600,2.390,0.179,0.592,1.454,2.490,3.838,7.019,19.486,49.257,0.418
55,4322.000,2.310,0.170,0.592,1.389,2.478,3.642,6.221,19.648,31.392,0.433
60,861.400,2.304,0.190,0.584,1.410,2.457,3.477,6.188,20.004,27.754,0.434
