Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,4040,4040.000,248,668,1568,2465,2625,3677,6438,21197,28128
1,4233,4233.000,234,643,1441,2352,2554,3660,6150,20596,26083
2,4378,4378.000,209,624,1301,2280,2445,3478,5823,20616,28129
3,4361,4361.000,209,606,1367,2289,2433,3405,5929,20273,25496
4,4307,4307.000,175,614,1372,2318,2453,3516,5901,20629,26044
5,4079,4079.000,215,631,1460,2448,2584,4118,6472,20716,28733
6,4226,4226.000,218,606,1350,2354,2509,3843,6272,20002,26505
7,3773,3773.000,224,666,1509,2650,2801,4798,7553,22775,35552
8,3916,3916.000,179,637,1538,2546,2638,4522,7143,20830,37800
9,4152,4152.000,201,645,1502,2401,2580,3752,6273,20908,26383
10,4101,4101.000,195,614,1545,2434,2541,3758,6322,20497,27234
11,4506,4506.000,192,573,1320,2214,2338,3310,5764,19353,25375
12,4104,4104.000,211,626,1482,2432,2609,4128,6436,20595,34619
13,4286,4286.000,185,595,1398,2330,2471,3606,6168,19639,24500
14,4369,4369.000,182,572,1327,2291,2393,3470,6185,19456,27999
15,4333,4333.000,196,588,1325,2295,2436,3526,6298,20250,31573
16,4500,4500.000,210,569,1328,2224,2397,3429,5944,19063,25260
17,4365,4365.000,192,592,1370,2280,2488,3585,5921,19476,25994
18,4325,4325.000,192,609,1392,2309,2550,3651,6375,19953,28459
19,4383,4383.000,194,598,1416,2275,2493,3595,5760,19539,27523
20,4500,4500.000,197,593,1414,2217,2461,3463,5780,19157,26287
21,4369,4369.000,185,562,1336,2287,2388,3409,6362,19825,25897
22,4277,4277.000,200,596,1373,2339,2491,3682,6372,19992,27170
23,4443,4443.000,187,580,1407,2243,2474,3532,5684,19391,29393
24,3961,3961.000,220,647,1478,2519,2742,4461,7090,21665,33587
25,4551,4551.000,184,584,1374,2190,2397,3263,5674,18927,24409
26,4298,4298.000,185,587,1387,2334,2504,3597,6510,19700,26014
27,4333,4333.000,170,579,1380,2302,2385,3522,6154,19437,26074
28,4498,4498.000,164,571,1369,2218,2413,3417,5925,18801,24704
29,4105,4105.000,165,639,1455,2433,2637,3915,6873,20927,29782
30,4592,4592.000,189,584,1318,2176,2345,3353,5818,19430,24307
31,3800,3800.000,187,689,1567,2621,2896,4752,7002,21890,34535
32,4317,4317.000,160,606,1467,2314,2518,3691,6251,19080,26075
33,4282,4282.000,185,600,1452,2335,2518,3626,6358,19895,31449
34,4387,4387.000,196,581,1317,2277,2420,3473,6245,19259,27942
35,4476,4476.000,197,606,1452,2233,2503,3458,5900,18831,26052
36,4317,4317.000,200,589,1431,2314,2472,3629,6137,19178,27218
37,4345,4345.000,202,597,1392,2293,2506,3638,6051,19198,27228
38,4272,4272.000,170,601,1443,2340,2524,3663,6339,20186,27551
39,4170,4170.000,212,629,1424,2395,2592,3940,6481,20354,28948
40,4189,4189.000,204,597,1421,2385,2543,3856,6434,20043,25233
41,4408,4408.000,186,585,1430,2269,2420,3434,6213,18216,22567
42,4370,4370.000,186,604,1413,2284,2522,3639,5893,20141,28320
43,3955,3955.000,175,643,1395,2533,2731,4488,6889,21371,29292
44,4352,4352.000,192,583,1394,2290,2456,3565,6244,19475,24992
45,4537,4537.000,200,590,1389,2194,2474,3381,5795,18886,23829
46,4525,4525.000,184,566,1415,2210,2403,3288,5783,18172,23609
47,4381,4381.000,186,592,1357,2284,2478,3611,6281,19088,25705
48,3607,3607.000,194,697,1612,2773,2969,5189,8406,22876,39605
49,4161,4161.000,183,615,1447,2397,2557,3823,6352,20402,32878
50,4320,4320.000,182,580,1390,2310,2472,3521,6251,19459,28243
51,4356,4356.000,179,589,1458,2296,2476,3424,6100,18868,24126
52,3971,3971.000,210,617,1549,2541,2578,4679,8219,20196,49257
53,3824,3824.000,187,599,1513,2584,2552,4992,9307,19698,37442
54,4442,4442.000,197,588,1339,2255,2425,3452,6031,19731,25950
55,4340,4340.000,209,594,1403,2295,2463,3523,6232,19884,24203
56,4202,4202.000,170,597,1331,2380,2485,3946,6748,20383,31392
57,4356,4356.000,177,584,1379,2296,2452,3583,6237,19711,25219
58,4322,4322.000,180,598,1431,2309,2492,3608,6148,19321,24482
59,4390,4390.000,194,590,1413,2272,2523,3614,5973,19054,28187
60,4307,4307.000,190,584,1410,2304,2457,3477,6188,20004,27754
