Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,127.000,5.351,3.148,4.779,5.408,5.926,6.344,6.648,7.062,8.319,0.187
5,125.400,5.130,2.916,4.510,5.120,5.701,6.253,6.516,7.036,8.133,0.195
10,137.800,5.143,3.041,4.564,5.099,5.697,6.150,6.449,6.936,12.450,0.194
15,129.000,5.163,2.854,4.573,5.135,5.737,6.307,6.618,7.233,8.014,0.194
20,132.800,5.245,3.213,4.656,5.245,5.833,6.290,6.543,7.378,12.986,0.191
25,141.000,5.264,3.005,4.664,5.298,5.802,6.274,6.534,7.336,11.317,0.190
30,123.800,5.246,3.264,4.595,5.210,5.831,6.328,6.651,7.228,12.202,0.191
35,136.200,5.303,3.149,4.652,5.324,5.859,6.461,6.690,7.258,11.719,0.189
40,119.200,5.273,3.168,4.631,5.246,5.909,6.433,6.729,7.587,9.538,0.190
45,132.800,5.305,2.960,4.747,5.272,5.836,6.312,6.585,7.336,12.764,0.189
50,127.600,5.284,3.223,4.662,5.249,5.819,6.370,6.640,7.314,12.357,0.189
55,126.200,5.429,3.138,4.814,5.359,5.943,6.455,6.788,9.217,12.178,0.184
60,30.000,5.249,3.178,4.648,5.249,5.810,6.273,6.670,7.832,8.843,0.191
