Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1456.600,2.290,0.790,1.777,2.240,2.739,3.210,3.470,3.952,9.731,0.437
5,1478.200,2.187,0.831,1.678,2.126,2.615,3.092,3.356,3.884,7.707,0.457
10,1540.200,2.188,0.834,1.689,2.125,2.626,3.079,3.360,3.829,10.330,0.457
15,1491.600,2.191,0.830,1.682,2.122,2.635,3.117,3.391,3.862,7.442,0.456
20,1528.600,2.189,0.853,1.699,2.119,2.613,3.063,3.364,3.835,7.011,0.457
25,1532.400,2.187,0.796,1.700,2.135,2.599,3.059,3.330,3.818,5.650,0.457
30,1455.600,2.183,0.810,1.676,2.117,2.620,3.091,3.381,3.849,5.729,0.458
35,1492.000,2.215,0.764,1.703,2.149,2.649,3.133,3.403,3.888,10.603,0.451
40,1447.400,2.209,0.799,1.707,2.151,2.636,3.109,3.397,3.872,6.379,0.453
45,1501.200,2.195,0.862,1.694,2.142,2.623,3.090,3.346,3.787,5.368,0.456
50,1474.400,2.192,0.652,1.690,2.131,2.621,3.085,3.389,3.832,5.174,0.456
55,1469.000,2.218,0.765,1.715,2.155,2.654,3.116,3.400,3.829,6.085,0.451
60,284.400,2.141,0.830,1.661,2.081,2.569,2.987,3.272,3.802,4.659,0.467
