Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,126.600,39.861,33.348,36.064,38.352,41.677,47.050,51.745,58.304,61.758,0.025
5,134.000,39.211,32.994,35.532,37.359,40.193,45.759,51.021,69.802,94.265,0.026
10,127.000,39.308,33.408,35.888,37.612,40.786,45.784,49.803,57.532,86.162,0.025
15,133.400,38.797,33.022,35.409,37.148,39.818,45.860,49.506,58.831,84.238,0.026
20,130.000,38.972,32.716,35.548,37.233,40.287,45.185,49.472,70.224,83.808,0.026
25,128.400,38.939,33.331,35.590,37.257,40.057,45.441,49.772,58.691,70.482,0.026
30,136.600,38.934,33.043,35.278,37.112,40.381,45.583,49.894,70.215,79.115,0.026
35,130.200,39.198,32.794,35.586,37.228,39.992,46.172,51.274,70.615,83.652,0.026
40,137.400,38.688,33.500,35.479,37.115,40.107,44.592,49.234,58.173,69.308,0.026
45,130.600,38.907,32.953,35.351,37.049,39.852,44.662,49.477,69.566,94.575,0.026
50,134.600,38.940,32.746,35.449,37.240,40.109,44.942,48.898,71.701,92.766,0.026
55,134.400,38.481,32.591,35.455,37.081,39.740,43.757,48.266,58.749,74.504,0.026
60,26.400,39.188,33.047,35.391,36.829,40.539,45.551,55.936,60.171,68.179,0.026
