Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,113.600,9.896,5.009,7.660,8.549,9.697,12.918,16.181,23.828,140.514,0.101
5,128.600,7.378,4.526,6.511,7.278,8.093,8.875,9.403,10.966,15.361,0.136
10,137.000,7.145,3.995,6.271,7.046,7.803,8.796,9.469,10.402,14.081,0.140
15,137.200,6.941,4.056,6.098,6.835,7.690,8.538,9.063,10.418,14.354,0.144
20,143.800,6.999,3.636,6.234,6.914,7.643,8.444,8.868,9.816,11.744,0.143
25,133.600,7.122,4.624,6.363,7.033,7.833,8.575,9.224,10.188,14.389,0.140
30,148.400,7.213,4.385,6.383,7.094,7.852,8.576,9.157,11.000,15.295,0.139
35,139.000,7.056,4.203,6.335,6.974,7.695,8.439,8.845,9.644,13.218,0.142
40,146.000,6.980,3.672,6.152,6.816,7.609,8.433,8.980,10.278,17.583,0.143
45,133.000,7.042,4.197,6.239,6.930,7.700,8.345,8.869,11.290,15.469,0.142
50,132.000,6.940,4.190,6.188,6.825,7.574,8.250,8.695,9.725,17.149,0.144
55,138.400,6.962,3.835,6.116,6.736,7.501,8.287,9.012,13.437,27.680,0.144
