Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1231.000,3.383,1.107,2.444,3.078,3.857,4.773,5.485,7.863,79.131,0.296
5,1439.800,2.681,0.869,2.073,2.603,3.193,3.733,4.096,4.757,8.624,0.373
10,1528.400,2.575,0.928,1.994,2.508,3.059,3.573,3.863,4.464,10.647,0.388
15,1569.600,2.472,0.938,1.917,2.403,2.945,3.455,3.760,4.406,7.978,0.404
20,1542.400,2.472,0.917,1.918,2.413,2.947,3.412,3.761,4.319,11.144,0.404
25,1562.800,2.456,0.806,1.903,2.385,2.899,3.417,3.722,4.435,10.637,0.407
30,1562.400,2.456,0.955,1.894,2.393,2.921,3.415,3.739,4.383,6.742,0.407
35,1565.600,2.425,0.794,1.883,2.353,2.884,3.377,3.653,4.206,8.238,0.412
40,1590.200,2.422,0.935,1.876,2.351,2.881,3.366,3.665,4.262,10.096,0.413
45,1534.200,2.438,0.806,1.904,2.377,2.894,3.392,3.690,4.336,7.061,0.410
50,1559.000,2.434,0.931,1.913,2.376,2.884,3.349,3.636,4.184,6.520,0.411
55,1563.000,2.426,0.911,1.881,2.356,2.888,3.371,3.645,4.264,13.603,0.412
