Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1154.600,0.942,0.354,0.667,0.795,0.985,1.258,1.542,2.461,46.708,1.062
5,1408.600,0.714,0.325,0.568,0.677,0.810,0.961,1.079,1.415,3.185,1.401
10,1456.000,0.683,0.361,0.550,0.645,0.769,0.904,0.999,1.326,9.266,1.464
15,1457.000,0.666,0.342,0.541,0.630,0.752,0.879,0.975,1.293,2.922,1.502
20,1501.800,0.665,0.331,0.540,0.629,0.748,0.871,0.965,1.292,5.306,1.503
25,1507.000,0.662,0.332,0.539,0.626,0.747,0.861,0.954,1.323,3.338,1.511
30,1524.200,0.656,0.337,0.537,0.624,0.736,0.855,0.939,1.245,4.361,1.525
35,1519.400,0.653,0.335,0.538,0.618,0.735,0.844,0.927,1.223,5.343,1.533
40,1543.600,0.651,0.325,0.532,0.615,0.733,0.840,0.928,1.259,8.973,1.537
45,1486.400,0.656,0.315,0.537,0.619,0.734,0.844,0.930,1.298,9.103,1.525
50,1489.600,0.655,0.334,0.542,0.621,0.731,0.839,0.920,1.261,8.722,1.526
55,1513.000,0.653,0.313,0.534,0.619,0.729,0.839,0.923,1.313,8.655,1.532
