Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,101.200,35.024,21.072,24.156,27.997,31.865,34.592,87.333,171.229,595.769,0.029
5,134.800,30.586,21.076,23.740,27.229,31.527,33.977,38.616,106.877,121.815,0.033
10,134.000,30.006,20.974,23.983,27.090,30.969,33.551,35.931,89.818,113.170,0.033
15,140.000,29.362,20.854,23.662,26.627,30.113,33.193,34.524,92.841,115.959,0.034
20,136.000,30.436,21.170,23.789,27.304,31.264,33.682,79.173,99.770,114.534,0.033
25,137.400,30.109,20.336,23.900,27.279,30.834,33.249,35.905,90.811,117.901,0.033
30,134.000,30.154,20.860,23.680,26.776,30.744,33.623,36.803,102.882,113.261,0.033
35,140.600,29.651,20.949,23.781,26.958,31.163,33.219,35.060,89.033,111.017,0.034
40,137.400,29.451,20.971,23.611,26.090,30.234,33.443,35.642,92.494,116.852,0.034
45,139.600,30.649,20.871,23.761,27.670,31.618,34.382,47.344,100.389,119.583,0.033
50,143.800,29.593,21.061,23.457,27.321,30.640,33.084,34.728,88.107,102.780,0.034
55,142.600,29.253,20.922,23.214,25.595,30.208,33.450,35.498,98.966,116.698,0.034
