Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2713.200,3.685,0.229,0.800,1.967,3.462,5.690,9.966,32.173,595.769,0.271
5,3243.400,3.081,0.183,0.671,1.587,2.867,4.181,8.214,31.687,121.815,0.325
10,3393.400,2.942,0.196,0.642,1.557,2.761,3.911,7.819,30.958,113.170,0.340
15,3446.400,2.891,0.188,0.629,1.535,2.657,3.821,7.755,30.178,115.959,0.346
20,3454.400,2.897,0.200,0.625,1.478,2.659,3.827,7.627,31.225,114.534,0.345
25,3480.400,2.866,0.178,0.622,1.472,2.612,3.724,7.728,30.779,117.901,0.349
30,3512.400,2.847,0.170,0.618,1.458,2.629,3.799,7.769,30.616,113.261,0.351
35,3507.400,2.848,0.178,0.613,1.467,2.594,3.696,7.699,31.163,111.017,0.351
40,3568.800,2.796,0.192,0.608,1.449,2.594,3.704,7.489,30.062,116.852,0.358
45,3423.200,2.915,0.187,0.616,1.472,2.609,3.728,7.767,31.706,119.583,0.343
50,3459.600,2.888,0.183,0.619,1.509,2.608,3.678,7.675,30.792,102.780,0.346
55,3515.800,2.837,0.190,0.612,1.449,2.597,3.695,7.544,30.263,116.698,0.353
