Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,164.400,6.101,3.715,5.278,5.773,6.376,7.229,8.012,15.327,28.272,0.164
5,176.000,5.869,3.492,5.126,5.643,6.314,7.217,8.166,9.819,13.047,0.170
10,166.400,5.748,3.387,5.039,5.506,6.084,6.921,7.866,10.874,18.939,0.174
15,171.400,6.055,3.633,5.244,5.670,6.335,7.625,8.945,12.001,21.953,0.165
20,169.000,5.851,3.843,5.176,5.619,6.145,6.971,8.090,11.753,14.758,0.171
25,163.000,5.906,3.626,5.239,5.681,6.280,7.012,7.618,11.767,20.038,0.169
30,173.200,5.708,3.433,5.199,5.596,6.108,6.628,6.985,10.628,12.272,0.175
35,177.400,5.820,3.704,5.217,5.626,6.127,6.745,7.369,12.061,19.436,0.172
40,180.000,5.991,3.695,5.322,5.745,6.347,7.066,7.838,11.996,17.821,0.167
45,176.400,6.005,3.658,5.217,5.681,6.275,7.288,8.900,12.142,26.101,0.167
50,166.000,6.124,3.607,5.345,5.821,6.346,7.309,9.325,12.378,15.061,0.163
55,163.600,5.832,3.500,5.231,5.639,6.111,6.747,7.487,11.556,14.387,0.171
