Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1787.800,2.495,0.931,1.888,2.382,2.909,3.413,3.808,5.060,26.157,0.401
5,1885.400,2.456,0.949,1.878,2.379,2.913,3.427,3.792,4.602,13.697,0.407
10,1901.600,2.402,0.811,1.827,2.314,2.829,3.346,3.669,4.730,11.333,0.416
15,1893.200,2.459,0.951,1.875,2.369,2.892,3.469,3.863,5.053,7.464,0.407
20,1933.400,2.420,0.922,1.870,2.343,2.856,3.352,3.685,4.564,8.898,0.413
25,1947.000,2.409,0.880,1.857,2.349,2.865,3.330,3.650,4.365,12.014,0.415
30,1942.800,2.351,0.887,1.828,2.294,2.805,3.236,3.503,4.084,11.223,0.425
35,1949.800,2.347,0.822,1.831,2.294,2.787,3.222,3.507,4.099,11.516,0.426
40,1951.400,2.422,0.842,1.875,2.358,2.872,3.335,3.676,4.345,9.386,0.413
45,1915.200,2.456,0.884,1.888,2.373,2.906,3.409,3.767,4.763,8.569,0.407
50,1878.800,2.494,0.845,1.888,2.396,2.926,3.485,3.913,5.368,8.849,0.401
55,1978.200,2.373,0.889,1.849,2.315,2.824,3.265,3.565,4.163,10.528,0.421
