Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,163.400,0.484,0.213,0.334,0.396,0.502,0.749,1.017,1.622,4.590,2.065
5,172.400,0.369,0.181,0.301,0.346,0.416,0.488,0.550,0.732,0.868,2.711
10,160.600,0.376,0.190,0.296,0.339,0.414,0.497,0.574,0.839,4.474,2.656
15,184.600,0.359,0.178,0.292,0.337,0.397,0.487,0.543,0.745,1.272,2.789
20,165.000,0.357,0.171,0.288,0.333,0.400,0.475,0.542,0.669,2.529,2.800
25,164.800,0.361,0.187,0.294,0.334,0.390,0.461,0.507,0.587,7.701,2.770
30,171.600,0.335,0.184,0.278,0.322,0.378,0.443,0.487,0.614,0.978,2.986
35,176.800,0.339,0.199,0.278,0.322,0.382,0.448,0.493,0.628,0.907,2.948
40,170.000,0.351,0.185,0.280,0.329,0.388,0.455,0.512,0.628,6.380,2.852
45,172.800,0.346,0.183,0.279,0.325,0.392,0.470,0.521,0.677,1.018,2.887
50,166.600,0.348,0.190,0.282,0.324,0.385,0.485,0.547,0.735,0.948,2.872
55,171.000,0.333,0.178,0.279,0.318,0.367,0.432,0.488,0.619,0.971,3.003
