Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3977.600,2.510,0.213,0.645,1.530,2.642,3.959,6.816,20.763,89.124,0.398
5,4203.400,2.374,0.181,0.614,1.451,2.622,3.858,6.274,20.258,31.248,0.421
10,4207.200,2.373,0.190,0.600,1.452,2.573,3.779,6.342,19.763,34.955,0.421
15,4227.600,2.360,0.178,0.603,1.433,2.595,3.891,6.208,19.619,36.036,0.424
20,4262.200,2.344,0.171,0.600,1.482,2.591,3.721,6.090,19.358,29.572,0.427
25,4297.600,2.323,0.187,0.604,1.456,2.571,3.642,6.186,19.576,27.533,0.430
30,4333.800,2.305,0.184,0.591,1.429,2.530,3.552,6.193,19.030,26.414,0.434
35,4329.800,2.308,0.199,0.596,1.444,2.528,3.571,6.190,19.088,28.446,0.433
40,4324.800,2.310,0.185,0.605,1.471,2.603,3.713,6.217,18.854,30.919,0.433
45,4268.800,2.339,0.183,0.610,1.460,2.612,3.809,6.240,19.047,28.795,0.427
50,4177.400,2.393,0.190,0.608,1.474,2.636,3.975,6.430,19.138,34.125,0.418
55,4370.600,2.282,0.178,0.599,1.442,2.543,3.550,6.043,18.815,27.801,0.438
