Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1771734349.477993	1771734394.1209037	44.64291071891785	0.0
2	1771734394.23218	1771734487.49114	93.25895977020264	0.11127638816833496
3	1771734487.6143682	1771734579.52553	91.91116189956665	0.12322831153869629
4	1771734579.6254222	1771734671.315115	91.689692735672	0.09989213943481445
5	1771734671.4059246	1771734765.8986828	94.49275827407837	0.09080958366394043
6	1771734766.0205503	1771734857.942014	91.92146372795105	0.12186741828918457
7	1771734858.0688648	1771734949.589177	91.52031207084656	0.12685084342956543
8	1771734949.714819	1771735041.3950272	91.68020820617676	0.1256420612335205
9	1771735041.558191	1771735133.3449247	91.78673362731934	0.1631639003753662
10	1771735143.8620753	1771735235.9756422	92.11356687545776	10.517150640487671
11	1771735236.0432286	1771735330.56068	94.51745128631592	0.06758642196655273
12	1771735330.6851993	1771735422.4412622	91.75606298446655	0.12451934814453125
13	1771735422.5365276	1771735514.2946973	91.7581696510315	0.09526538848876953
14	1771735514.442481	1771735609.138812	94.69633102416992	0.14778375625610352
15	1771735609.256687	1771735707.5203307	98.26364374160767	0.1178748607635498
16	1771735707.6651871	1771735802.4784741	94.81328701972961	0.14485645294189453
17	1771735813.13282	1771735907.3831604	94.25034046173096	10.654345750808716
18	1771735907.4188871	1771735998.876867	91.45797991752625	0.03572678565979004
19	1771735998.9124756	1771736091.2707999	92.3583242893219	0.035608530044555664
20	1771736091.4076939	1771736183.2463717	91.8386778831482	0.13689398765563965
21	1771736183.4100437	1771736274.7941945	91.3841507434845	0.16367197036743164
22	1771736274.8907113	1771736366.5848658	91.6941545009613	0.09651684761047363
23	1771736366.648376	1771736458.48193	91.83355402946472	0.06351017951965332
24	1771736458.6291764	1771736550.2906835	91.66150712966919	0.1472463607788086
25	1771736550.497413	1771736642.223264	91.72585105895996	0.20672941207885742
26	1771736652.6329515	1771736744.2712476	91.63829612731934	10.409687519073486
27	1771736744.3348022	1771736838.7398806	94.4050784111023	0.06355452537536621
28	1771736838.8773835	1771736930.7082574	91.83087396621704	0.13750290870666504
29	1771736930.8569186	1771737022.5874987	91.73058009147644	0.14866113662719727
30	1771737022.7375476	1771737115.1356897	92.3981420993805	0.15004897117614746
31	1771737115.216427	1771737210.2650182	95.04859113693237	0.08073735237121582
32	1771737210.3954294	1771737302.346377	91.95094752311707	0.13041114807128906
33	1771737302.506145	1771737394.0188456	91.51270055770874	0.15976810455322266
34	1771737404.3897007	1771737496.4773264	92.08762574195862	10.37085509300232
35	1771737496.6322608	1771737591.358937	94.72667622566223	0.15493440628051758
36	1771737591.4039218	1771737685.9054065	94.50148463249207	0.04498481750488281
37	1771737686.062741	1771737777.832527	91.76978588104248	0.157334566116333
38	1771737777.9137022	1771737872.5471895	94.63348722457886	0.08117532730102539
39	1771737872.7166803	1771737967.909893	95.19321274757385	0.16949081420898438
40	1771737968.0587063	1771738063.1197588	95.06105256080627	0.14881324768066406
41	1771738073.7601337	1771738168.2024753	94.44234156608582	10.640374898910522
42	1771738168.410946	1771738260.1914217	91.78047585487366	0.20847058296203613
43	1771738260.3439708	1771738352.0299773	91.68600654602051	0.15254902839660645
