Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,14590.840,14590.840,14590.840,14590.840,14590.840,14590.840,14590.840,14590.840,14590.840,0.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.400,12504.613,12163.569,12163.569,12845.656,12845.656,12845.656,12845.656,12845.656,12845.656,0.000
20,0.200,16950.658,16950.658,16950.658,16950.658,16950.658,16950.658,16950.658,16950.658,16950.658,0.000
25,0.200,19112.265,19112.265,19112.265,19112.265,19112.265,19112.265,19112.265,19112.265,19112.265,0.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.200,18644.661,18644.661,18644.661,18644.661,18644.661,18644.661,18644.661,18644.661,18644.661,0.000
40,0.400,14013.625,13762.625,13762.625,14264.625,14264.625,14264.625,14264.625,14264.625,14264.625,0.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
