Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,161.705,161.705,161.705,161.705,161.705,161.705,161.705,161.705,161.705,0.006
10,3.400,145.872,1.143,76.747,171.388,212.891,222.314,396.453,396.453,396.453,0.007
15,2.400,148.036,1.176,91.864,166.047,205.183,239.875,259.826,259.826,259.826,0.007
20,2.400,156.075,1.147,76.071,220.442,224.686,255.028,316.923,316.923,316.923,0.006
25,1.200,34.474,1.598,1.883,2.136,2.172,197.101,197.101,197.101,197.101,0.029
30,0.800,120.961,0.936,138.889,170.758,173.260,173.260,173.260,173.260,173.260,0.008
35,2.600,145.384,0.729,1.143,177.783,232.184,266.209,380.273,380.273,380.273,0.007
40,2.000,90.566,0.536,0.691,113.426,190.528,232.349,232.349,232.349,232.349,0.011
45,0.600,124.968,69.766,69.766,151.989,153.148,153.148,153.148,153.148,153.148,0.008
50,0.200,210.953,210.953,210.953,210.953,210.953,210.953,210.953,210.953,210.953,0.005
55,1.000,81.412,0.893,0.987,62.010,158.614,184.558,184.558,184.558,184.558,0.012
