Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.800,9956.949,6030.203,11265.510,11266.008,11266.076,11266.076,11266.076,11266.076,11266.076,0.000
5,1.400,5800.253,161.705,5014.337,5191.276,5226.313,14590.840,14590.840,14590.840,14590.840,0.000
10,7.800,1890.456,1.143,171.428,290.101,423.918,3986.107,4850.731,37223.507,37223.507,0.001
15,5.200,1988.431,1.176,166.047,328.385,3944.442,5052.796,12163.569,12845.656,12845.656,0.001
20,4.800,2486.009,1.147,220.442,332.783,4855.054,7502.136,7583.186,16950.658,16950.658,0.000
25,3.400,2448.557,1.598,2.172,2108.839,2278.013,4024.783,19112.265,19112.265,19112.265,0.000
30,2.600,3608.406,0.936,173.260,4932.083,6791.635,6869.544,6869.572,6869.572,6869.572,0.000
35,6.000,1381.954,0.729,209.868,310.378,527.219,4938.880,4968.297,18644.661,18644.661,0.001
40,4.400,2799.282,0.536,113.426,420.887,4439.996,4945.897,13762.625,14264.625,14264.625,0.000
45,1.600,2457.600,69.766,153.148,4381.528,4852.720,4855.787,4855.787,4855.787,4855.787,0.000
50,1.000,3421.604,210.953,4172.971,4176.290,4250.871,4296.935,4296.935,4296.935,4296.935,0.000
55,1.000,81.412,0.893,0.987,62.010,158.614,184.558,184.558,184.558,184.558,0.012
