Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1751381922.111094,339863,5,1
5,StockLevel,1751381922.111095,2912057,6,1
1,NewOrder,1751381922.111103,339838,0,1
2,Payment,1751381922.111173,147515,8,1
5,StockLevel,1751381922.111176,2911986,3,1
2,Payment,1751381922.258798,196592,8,1
1,NewOrder,1751381922.331443,323519,2,1
2,Payment,1751381922.450968,4703,0,1
2,Payment,1751381922.450972,4612,9,1
2,Payment,1751381922.450975,4633,5,1
4,Delivery,1751381922.450991,9166553,1,1
1,NewOrder,1751381922.455413,374136,8,1
2,Payment,1751381922.455604,208001,9,1
1,NewOrder,1751381922.455620,429743,5,1
1,NewOrder,1751381922.455693,373899,0,1
2,Payment,1751381922.654998,5528,2,1
2,Payment,1751381922.660561,3974,2,1
2,Payment,1751381922.663636,166902,9,1
1,NewOrder,1751381922.664557,397769,2,1
2,Payment,1751381922.829579,241570,8,1
1,NewOrder,1751381922.829618,344835,0,1
4,Delivery,1751381922.830554,8786976,9,1
2,Payment,1751381922.885403,180913,5,1
2,Payment,1751381923.062352,3655,2,1
2,Payment,1751381923.066032,2986,2,1
1,NewOrder,1751381923.066348,3816893,5,1
2,Payment,1751381923.069042,200156,2,1
1,NewOrder,1751381923.071184,3812111,8,1
1,NewOrder,1751381923.174493,3708881,0,1
1,NewOrder,1751381923.269243,3905868,2,1
1,NewOrder,1751381923.965223,3209993,4,1
4,Delivery,1751381925.023189,6594344,6,1
1,NewOrder,1751381925.023191,2079761,3,1
2,Payment,1751381926.883290,220750,5,1
1,NewOrder,1751381926.883314,412461,8,1
2,Payment,1751381926.883395,421153,0,1
2,Payment,1751381927.102984,194321,3,1
2,Payment,1751381927.104064,195035,5,1
1,NewOrder,1751381927.175140,4442494,2,1
2,Payment,1751381927.175246,123838,4,1
1,NewOrder,1751381927.295806,4397022,8,1
2,Payment,1751381927.297336,3363,3,1
1,NewOrder,1751381927.299114,4393727,4,1
3,OrderStatus,1751381927.299120,2789355,5,1
2,Payment,1751381927.300725,3545,3,1
1,NewOrder,1751381927.304301,4314171,3,1
1,NewOrder,1751381927.304580,4498937,0,1
1,NewOrder,1751381930.088505,1714974,5,1
2,Payment,1751381931.617555,190636,6,1
2,Payment,1751381931.617556,187739,9,1
1,NewOrder,1751381931.617572,260841,1,1
1,NewOrder,1751381931.617592,260988,7,1
1,NewOrder,1751381931.617657,260722,2,1
1,NewOrder,1751381931.618518,415276,3,1
1,NewOrder,1751381931.692862,340956,8,1
3,OrderStatus,1751381931.692864,2785769,4,1
