Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.400,2787.562,2785.769,2785.769,2789.355,2789.355,2789.355,2789.355,2789.355,2789.355,0.000
10,0.400,2590.649,2341.196,2341.196,2840.102,2840.102,2840.102,2840.102,2840.102,2840.102,0.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.400,2476.262,2187.199,2187.199,2765.325,2765.325,2765.325,2765.325,2765.325,2765.325,0.000
25,0.400,2529.528,2475.235,2475.235,2583.821,2583.821,2583.821,2583.821,2583.821,2583.821,0.000
30,0.200,2717.617,2717.617,2717.617,2717.617,2717.617,2717.617,2717.617,2717.617,2717.617,0.000
35,0.200,2750.368,2750.368,2750.368,2750.368,2750.368,2750.368,2750.368,2750.368,2750.368,0.000
40,0.400,3116.659,2888.079,2888.079,3345.239,3345.239,3345.239,3345.239,3345.239,3345.239,0.000
45,0.200,2968.975,2968.975,2968.975,2968.975,2968.975,2968.975,2968.975,2968.975,2968.975,0.000
50,0.400,2581.974,2408.892,2408.892,2755.056,2755.056,2755.056,2755.056,2755.056,2755.056,0.000
55,0.200,2539.162,2539.162,2539.162,2539.162,2539.162,2539.162,2539.162,2539.162,2539.162,0.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
