Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,28,28.000,2986,147515,323519,1275068,429743,3816893,8786976,9166553,9166553
1,3,3.000,3209993,3209993,3708881,3608247,3905868,3905868,3905868,3905868,3905868
2,2,2.000,2079761,2079761,6594344,4337052,6594344,6594344,6594344,6594344,6594344
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,5,5.000,194321,195035,220750,288744,412461,421153,421153,421153,421153
5,9,9.000,3363,123838,4314171,2774050,4397022,4498937,4498937,4498937,4498937
6,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1,1.000,1714974,1714974,1714974,1714974,1714974,1714974,1714974,1714974,1714974
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,23,23.000,3711,187739,252543,651800,340956,415276,2785769,7171489,7171489
10,31,31.000,3760,209964,287909,856746,347971,420570,5901369,10687926,10687926
11,12,12.000,5019,250667,537219,1127483,1142630,2840102,5715318,5715318,5715318
12,5,5.000,4066,330016,331146,350593,457884,629857,629857,629857,629857
13,8,8.000,241821,389703,3411853,2273782,3480496,3524494,3524494,3524494,3524494
14,1,1.000,2341196,2341196,2341196,2341196,2341196,2341196,2341196,2341196,2341196
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,8,8.000,169876,256031,329669,353081,446370,700943,700943,700943,700943
17,24,24.000,3194,120093,251834,1816476,2634234,2698924,11498443,11769813,11769813
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,5,5.000,5476,200306,214753,296931,369124,694997,694997,694997,694997
20,23,23.000,4090,149354,335471,397091,491676,495766,634123,2656774,2656774
21,14,14.000,112127,475233,2187199,1816712,2517905,2706277,7589557,7589557,7589557
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,2,2.000,258745,258745,1260920,759832,1260920,1260920,1260920,1260920,1260920
24,11,11.000,2683,200846,2765325,2560744,4426735,4430471,4626188,4626188,4626188
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,2,2.000,4520767,4520767,6939038,5729902,6939038,6939038,6939038,6939038,6939038
28,8,8.000,2475235,2811220,2846145,2774624,2894374,2910986,2910986,2910986,2910986
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,19,19.000,5016,134400,251663,512150,350931,2717617,3130100,3130100,3130100
32,17,17.000,181822,239603,429665,1516358,624600,2286942,14303838,14303838,14303838
33,5,5.000,3831,1371170,2191270,1629922,2262759,2320582,2320582,2320582,2320582
34,2,2.000,262641,262641,882309,572475,882309,882309,882309,882309,882309
35,45,45.000,2653,4052,216064,275807,290607,419830,471029,2581841,2581841
36,16,16.000,2542,175230,407301,1299839,2804870,2874497,2886808,2886808,2886808
37,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,3,3.000,218983,218983,794816,4560722,12668367,12668367,12668367,12668367,12668367
39,20,20.000,2968,209741,308576,2189202,2740427,11428785,11668257,11668257,11668257
40,8,8.000,200834,211483,319033,744299,553368,3828006,3828006,3828006,3828006
41,3,3.000,253188,253188,1211282,1603236,3345239,3345239,3345239,3345239,3345239
42,7,7.000,144280,213651,290320,1392920,2888079,3719342,3719342,3719342,3719342
43,1,1.000,2582607,2582607,2582607,2582607,2582607,2582607,2582607,2582607,2582607
44,3,3.000,244418,244418,1706975,1258980,1825547,1825547,1825547,1825547,1825547
45,1,1.000,1089119,1089119,1089119,1089119,1089119,1089119,1089119,1089119,1089119
46,13,13.000,2817,183518,347125,2308070,4091771,8629538,8687348,8687348,8687348
47,1,1.000,6342960,6342960,6342960,6342960,6342960,6342960,6342960,6342960,6342960
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,1,1.000,3492355,3492355,3492355,3492355,3492355,3492355,3492355,3492355,3492355
50,9,9.000,6291,6336,2654707,1811010,2678088,3101395,3101395,3101395,3101395
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,18,18.000,1701,193955,271820,418097,449495,560208,2755056,2755056,2755056
54,19,19.000,145084,207498,280087,790217,1879754,2618959,2877025,2877025,2877025
55,2,2.000,1350595,1350595,1729163,1539879,1729163,1729163,1729163,1729163,1729163
56,12,12.000,1586,135143,336376,241868,397817,397847,404676,404676,404676
57,21,21.000,1576,143414,302821,478583,361934,470356,2418524,3259037,3259037
58,13,13.000,159404,218054,350198,499607,424292,530803,2539162,2539162,2539162
59,7,7.000,1630,2196,190412,372237,1070486,1101061,1101061,1101061,1101061
60,8,8.000,2605,163873,207374,187521,337979,351327,351327,351327,351327
