Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1575,1575.000,352,2493,3833,6295,8038,12664,17273,37218,68053
1,2734,2734.000,271,1536,2444,3646,3734,6513,12734,22908,43561
2,1879,1879.000,258,2150,3384,5311,6329,10058,15484,33860,55768
3,1653,1653.000,421,2335,3659,6056,6852,11480,18528,38952,55203
4,1872,1872.000,241,1998,3365,5334,6109,10853,15779,31685,59579
5,2423,2423.000,255,1568,2627,4103,4374,7516,13559,28556,49686
6,2768,2768.000,222,1485,2395,3610,3790,6336,11492,23584,43423
7,1822,1822.000,306,2062,3420,5509,6321,10167,16510,36814,53304
8,1863,1863.000,253,2059,3374,5320,6365,10371,15469,33773,55865
9,2156,2156.000,263,1692,2887,4609,5198,8786,14249,30475,54437
10,1904,1904.000,328,2043,3252,5256,6120,9421,14590,34671,48270
11,2089,2089.000,312,1960,3116,4784,5496,8621,12896,33554,50557
12,1994,1994.000,323,1918,3277,4997,5524,9406,18492,30875,51302
13,1801,1801.000,304,2081,3612,5534,6207,10065,19984,35093,54743
14,2384,2384.000,227,1671,2699,4191,4933,7262,12004,28090,35675
15,1976,1976.000,280,1964,3195,5053,5875,9104,14018,33329,50517
16,2495,2495.000,223,1509,2594,4002,4305,7198,14694,25001,43262
17,2180,2180.000,192,1737,2888,4568,5205,8306,14567,30411,46521
18,1579,1579.000,487,2373,4050,6303,7552,11770,17674,43183,62057
19,2096,2096.000,253,1861,3118,4755,5577,8435,12946,30513,43180
20,2219,2219.000,237,1620,2914,4499,4898,8638,15830,25519,52231
21,2457,2457.000,207,1582,2628,4072,4729,7080,11725,27626,40807
22,1918,1918.000,246,1987,3269,5179,5871,9355,16917,35627,48075
23,1777,1777.000,208,2145,3681,5631,6708,10819,14959,38084,51467
24,1584,1584.000,277,2361,3616,6286,7798,12323,19027,40609,60261
25,1959,1959.000,328,1962,3283,5112,5839,9104,14464,33364,59958
26,2451,2451.000,190,1630,2559,4050,4799,7753,10618,27751,45221
27,1907,1907.000,269,2026,3314,5239,5938,9656,15696,33818,54777
28,1758,1758.000,312,2110,3633,5656,6554,10913,16478,36155,51068
29,2026,2026.000,256,1788,2925,4937,5523,9966,16502,32316,54680
30,1805,1805.000,256,2041,3388,5557,6319,10973,17837,35195,58127
31,2160,2160.000,182,1712,2824,4589,4999,8908,13815,32435,50408
32,2168,2168.000,275,1735,2913,4615,5356,8297,12630,31505,47501
33,1912,1912.000,357,2035,3335,5239,5927,9006,17341,34375,45967
34,2114,2114.000,229,1878,2990,4702,5465,8362,13252,30731,53414
35,1561,1561.000,376,2449,4317,6388,7677,11525,16867,40735,61957
36,2230,2230.000,285,1745,2884,4502,5117,8034,13039,32065,44982
37,2064,2064.000,233,1780,2968,4806,5227,9374,16523,33220,69407
38,1770,1770.000,410,2112,3722,5653,6364,10361,17422,35231,50234
39,2154,2154.000,285,1868,2919,4621,5436,8050,13839,31574,43366
40,2163,2163.000,250,1756,2856,4629,5399,8269,14048,31294,42583
41,2392,2392.000,226,1581,2727,4162,4542,7479,12605,26972,47854
42,2401,2401.000,264,1565,2670,4169,4586,6915,14094,27038,37413
43,2054,2054.000,256,1969,3231,4875,5728,8305,13395,32275,51760
44,2200,2200.000,227,1698,2827,4521,5170,8142,13957,31431,48808
45,2319,2319.000,189,1602,2799,4302,4751,8164,14084,27047,44922
46,2471,2471.000,261,1551,2642,4046,4471,7092,12121,26046,38231
47,2309,2309.000,199,1634,2688,4326,4642,7737,14736,29852,46091
48,2107,2107.000,253,1758,2986,4747,5352,9151,14206,29999,49478
49,2349,2349.000,239,1613,2686,4267,4843,7738,10969,30729,50330
50,2117,2117.000,325,1881,3037,4682,5449,8061,12957,29438,44169
51,2373,2373.000,218,1642,2651,4213,4682,7525,11637,29450,41653
52,1983,1983.000,255,1848,3098,5055,5675,9303,17513,35986,42409
53,2315,2315.000,227,1635,2851,4287,4911,7374,11838,28586,48436
54,2456,2456.000,229,1537,2601,4080,4578,7637,11536,26694,46680
55,2041,2041.000,218,1735,3061,4934,5726,9714,15210,31894,68240
56,2676,2676.000,212,1530,2515,3693,4276,6274,9300,24933,36603
57,1799,1799.000,336,2031,3587,5541,6178,10599,17332,34657,58339
58,1791,1791.000,332,2262,3574,5593,6860,10278,14026,36056,51419
59,2192,2192.000,226,1630,2890,4547,5066,8174,16140,30553,53192
60,2035,2035.000,228,1982,3086,4873,5789,8400,14530,31281,45440
