Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,95.200,1.034,0.219,0.769,1.067,1.219,1.561,1.679,2.012,4.896,0.967
5,114.400,0.879,0.200,0.597,0.835,1.130,1.354,1.605,2.000,3.102,1.137
10,111.000,0.795,0.213,0.534,0.749,1.072,1.216,1.415,1.645,1.804,1.257
15,114.600,0.775,0.206,0.439,0.704,1.063,1.195,1.426,1.672,4.845,1.290
20,106.000,0.700,0.193,0.426,0.628,0.994,1.170,1.270,1.577,1.775,1.429
25,116.400,0.655,0.202,0.425,0.605,0.742,1.116,1.241,1.709,4.766,1.528
30,117.400,0.599,0.193,0.371,0.586,0.706,0.948,1.119,1.533,4.705,1.670
35,116.000,0.555,0.189,0.357,0.565,0.652,0.867,1.094,1.327,1.763,1.800
40,112.800,0.560,0.175,0.352,0.567,0.671,0.863,1.117,1.355,1.628,1.787
45,116.600,0.554,0.197,0.342,0.575,0.663,0.850,1.092,1.326,1.559,1.804
50,116.800,0.529,0.200,0.320,0.502,0.650,0.837,1.071,1.436,1.758,1.889
55,115.600,0.530,0.175,0.321,0.500,0.646,0.773,1.050,1.206,4.940,1.887
60,21.600,0.535,0.191,0.330,0.582,0.650,0.815,1.032,1.181,1.278,1.869
