Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1122.600,1.518,0.843,1.341,1.430,1.574,1.911,2.169,3.578,15.461,0.659
5,1163.800,1.411,0.830,1.254,1.400,1.495,1.734,1.923,2.376,9.224,0.709
10,1216.600,1.404,0.833,1.226,1.400,1.496,1.692,1.897,2.426,5.999,0.712
15,1151.400,1.411,0.865,1.230,1.403,1.489,1.688,1.938,2.672,5.763,0.709
20,1141.400,1.423,0.846,1.269,1.409,1.511,1.753,1.950,2.424,6.078,0.703
25,1197.400,1.420,0.826,1.256,1.407,1.502,1.740,1.939,2.476,7.350,0.704
30,1199.800,1.435,0.832,1.247,1.408,1.523,1.822,2.063,2.708,5.675,0.697
35,1187.800,1.438,0.789,1.287,1.413,1.530,1.796,1.974,2.463,6.125,0.696
40,1200.600,1.430,0.868,1.235,1.412,1.518,1.803,2.003,2.510,5.340,0.699
45,1197.600,1.419,0.816,1.232,1.406,1.498,1.749,1.993,2.587,7.433,0.705
50,1177.200,1.430,0.840,1.251,1.408,1.515,1.794,1.983,2.526,7.332,0.699
55,1232.200,1.372,0.836,1.200,1.397,1.465,1.611,1.764,2.104,5.315,0.729
60,249.800,1.400,0.881,1.188,1.403,1.472,1.630,1.833,2.760,14.800,0.714
