Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2585.400,3.855,0.219,1.431,2.362,3.629,5.983,9.452,32.832,84.474,0.259
5,2753.400,3.631,0.200,1.400,2.220,3.389,5.221,8.244,31.261,53.534,0.275
10,2805.200,3.553,0.213,1.397,2.119,3.331,4.938,7.803,31.935,51.827,0.281
15,2735.800,3.652,0.206,1.403,2.226,3.377,5.368,8.509,31.378,75.188,0.274
20,2699.400,3.695,0.193,1.409,2.242,3.461,5.434,8.563,32.256,57.687,0.271
25,2814.400,3.551,0.202,1.404,2.186,3.366,5.195,7.806,31.270,54.748,0.282
30,2753.400,3.625,0.193,1.402,2.150,3.378,5.591,8.637,31.400,61.442,0.276
35,2782.200,3.595,0.189,1.410,2.203,3.425,5.348,7.825,32.589,53.530,0.278
40,2795.600,3.577,0.175,1.408,2.184,3.394,5.335,7.903,31.642,58.844,0.280
45,2815.800,3.539,0.197,1.402,2.212,3.385,5.262,7.611,31.503,59.147,0.283
50,2785.200,3.589,0.200,1.407,2.239,3.408,5.315,7.766,31.525,54.111,0.279
55,2868.200,3.486,0.175,1.394,2.093,3.283,4.863,7.444,30.918,43.632,0.287
60,570.600,3.446,0.191,1.398,2.015,3.177,4.690,7.373,30.451,48.530,0.290
