Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,162.200,5.289,3.145,4.763,5.265,5.742,6.238,6.651,7.285,16.278,0.189
5,167.400,5.102,3.150,4.644,5.076,5.524,5.988,6.344,6.999,8.639,0.196
10,165.200,5.156,3.040,4.683,5.103,5.599,6.053,6.333,7.234,8.076,0.194
15,163.800,5.136,3.151,4.626,5.101,5.544,6.085,6.336,7.328,11.453,0.195
20,165.000,5.128,3.308,4.586,5.063,5.563,6.096,6.398,7.376,14.242,0.195
25,162.000,5.278,3.178,4.690,5.169,5.740,6.360,6.823,8.873,12.904,0.189
30,162.400,5.224,3.491,4.723,5.151,5.588,6.053,6.421,7.567,11.601,0.191
35,168.000,5.238,3.219,4.784,5.186,5.638,6.029,6.311,7.796,11.027,0.191
40,168.800,5.280,3.271,4.735,5.211,5.707,6.175,6.543,7.792,12.413,0.189
45,160.400,5.332,3.234,4.825,5.275,5.746,6.170,6.409,7.161,27.451,0.188
50,163.200,5.366,3.265,4.858,5.320,5.736,6.195,6.463,9.187,13.094,0.186
55,161.400,5.338,3.220,4.811,5.310,5.763,6.269,6.652,8.208,12.334,0.187
60,31.400,5.306,3.485,4.786,5.235,5.636,6.195,6.519,11.366,12.123,0.188
