Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1766.000,2.213,0.800,1.718,2.156,2.639,3.069,3.323,3.791,9.315,0.452
5,1914.600,2.153,0.863,1.670,2.098,2.554,2.988,3.265,3.732,9.780,0.465
10,1837.800,2.178,0.807,1.694,2.117,2.591,3.027,3.286,3.810,9.068,0.459
15,1800.800,2.180,0.740,1.680,2.120,2.595,3.034,3.295,3.878,9.910,0.459
20,1831.800,2.174,0.857,1.681,2.115,2.586,3.016,3.314,3.833,10.216,0.460
25,1811.400,2.214,0.844,1.708,2.146,2.636,3.102,3.385,4.099,8.516,0.452
30,1843.800,2.180,0.803,1.697,2.141,2.590,3.013,3.268,3.763,5.023,0.459
35,1888.000,2.200,0.866,1.712,2.150,2.628,3.022,3.266,3.767,9.024,0.455
40,1831.600,2.202,0.819,1.713,2.153,2.627,3.048,3.291,3.755,8.951,0.454
45,1848.000,2.207,0.829,1.720,2.137,2.622,3.055,3.307,3.779,25.479,0.453
50,1825.200,2.210,0.882,1.729,2.157,2.627,3.060,3.312,3.750,8.886,0.452
55,1804.000,2.203,0.827,1.708,2.139,2.617,3.058,3.327,3.852,10.694,0.454
60,353.000,2.155,0.800,1.663,2.103,2.593,2.972,3.228,3.588,4.950,0.464
