Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,156.200,26.307,20.917,23.699,25.586,28.237,31.599,33.490,35.764,39.108,0.038
5,153.800,25.679,20.967,23.529,25.083,27.117,29.659,31.715,34.523,36.837,0.039
10,160.800,25.265,20.566,23.277,24.723,26.557,29.149,30.772,33.387,35.077,0.040
15,166.000,25.130,20.839,23.106,24.511,26.417,28.707,30.571,34.132,35.961,0.040
20,161.600,25.298,20.798,23.272,24.784,26.569,28.891,30.785,34.277,35.863,0.040
25,160.200,25.386,21.104,23.279,24.915,26.631,29.423,30.902,33.965,37.105,0.039
30,163.000,24.903,21.289,23.174,24.418,26.061,28.121,29.690,32.395,35.584,0.040
35,156.200,24.850,21.008,23.191,24.413,25.938,27.968,29.612,32.596,35.032,0.040
40,162.400,24.721,20.689,23.116,24.116,25.699,28.076,29.481,32.630,35.182,0.040
45,161.400,24.832,20.899,23.119,24.285,25.922,27.988,29.898,33.282,35.142,0.040
50,164.000,24.591,20.878,23.017,23.955,25.625,27.641,29.286,33.313,35.400,0.041
55,164.600,25.063,21.001,23.304,24.506,26.289,28.319,30.157,34.197,36.973,0.040
60,34.000,24.970,21.274,23.130,24.003,26.219,28.901,31.672,34.370,34.736,0.040
