Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,166.000,0.380,0.202,0.305,0.352,0.431,0.519,0.593,0.725,1.342,2.632
5,175.800,0.356,0.188,0.287,0.327,0.387,0.451,0.493,0.625,7.557,2.813
10,169.800,0.331,0.194,0.275,0.317,0.373,0.436,0.468,0.576,0.762,3.025
15,171.000,0.319,0.170,0.269,0.306,0.355,0.418,0.461,0.548,0.590,3.133
20,155.600,0.321,0.176,0.272,0.309,0.362,0.417,0.447,0.544,0.705,3.114
25,171.800,0.335,0.184,0.270,0.311,0.367,0.432,0.480,0.616,6.849,2.984
30,158.800,0.320,0.181,0.261,0.300,0.353,0.412,0.443,0.540,5.649,3.127
35,177.200,0.312,0.174,0.260,0.301,0.347,0.404,0.441,0.560,0.677,3.205
40,166.000,0.313,0.166,0.260,0.294,0.347,0.412,0.455,0.566,1.823,3.200
45,166.400,0.311,0.184,0.255,0.297,0.347,0.413,0.440,0.516,2.101,3.220
50,173.000,0.313,0.173,0.264,0.300,0.347,0.411,0.446,0.531,0.701,3.198
55,179.400,0.312,0.174,0.259,0.297,0.348,0.400,0.439,0.539,2.951,3.210
60,38.000,0.315,0.176,0.255,0.298,0.350,0.429,0.466,0.557,0.678,3.179
