Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1806.200,0.620,0.330,0.525,0.596,0.694,0.793,0.860,1.008,3.048,1.612
5,1791.200,0.600,0.321,0.508,0.576,0.674,0.772,0.833,0.982,3.706,1.667
10,1820.200,0.598,0.299,0.503,0.572,0.673,0.776,0.838,1.013,2.689,1.672
15,1883.600,0.586,0.293,0.497,0.562,0.658,0.753,0.806,0.945,2.418,1.708
20,1824.600,0.593,0.313,0.503,0.570,0.664,0.762,0.819,0.971,2.545,1.688
25,1873.000,0.593,0.329,0.504,0.570,0.662,0.757,0.814,0.969,3.391,1.685
30,1812.000,0.588,0.314,0.501,0.566,0.658,0.750,0.803,0.921,2.561,1.702
35,1817.200,0.582,0.307,0.499,0.564,0.651,0.742,0.792,0.886,2.628,1.717
40,1882.600,0.590,0.322,0.503,0.569,0.661,0.750,0.803,0.931,3.593,1.695
45,1835.600,0.588,0.308,0.500,0.569,0.660,0.751,0.804,0.916,5.886,1.702
50,1873.800,0.598,0.327,0.509,0.579,0.669,0.761,0.813,0.932,2.955,1.673
55,1865.800,0.591,0.308,0.506,0.572,0.663,0.752,0.797,0.897,2.358,1.692
60,362.200,0.609,0.352,0.514,0.587,0.676,0.768,0.821,1.006,2.702,1.642
