Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,162.400,21.104,16.979,19.262,20.653,22.346,24.506,25.838,28.156,30.442,0.047
5,168.400,20.938,16.844,19.296,20.493,22.188,24.101,25.288,27.858,30.868,0.048
10,173.200,20.797,16.394,19.048,20.392,22.030,24.011,25.289,27.406,32.962,0.048
15,172.200,20.460,16.831,18.973,20.005,21.507,23.212,24.669,27.202,27.832,0.049
20,172.000,20.583,16.869,18.969,20.184,21.683,23.396,25.048,28.018,34.611,0.049
25,164.600,20.343,16.934,18.953,19.934,21.265,22.947,24.181,26.212,31.526,0.049
30,171.400,20.430,17.135,18.877,19.954,21.442,23.328,24.777,27.565,29.608,0.049
35,175.600,20.129,16.827,18.731,19.768,21.072,22.772,24.095,25.987,27.450,0.050
40,167.800,20.283,16.688,18.800,19.836,21.252,23.188,24.810,26.915,30.928,0.049
45,174.600,20.168,17.195,18.692,19.710,21.067,22.998,24.183,26.929,28.264,0.050
50,166.600,20.163,16.769,18.722,19.740,21.056,22.896,24.150,26.902,30.117,0.050
55,168.000,19.933,16.582,18.718,19.572,20.715,22.328,23.347,25.486,27.597,0.050
60,31.600,20.009,17.143,18.695,19.445,21.061,23.047,24.136,25.359,25.680,0.050
