Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1749691759.511912,7791,9,1
2,Payment,1749691759.514103,3976,5,1
1,NewOrder,1749691759.515403,14045,2,1
1,NewOrder,1749691759.516375,11809,4,1
2,Payment,1749691759.517417,4790,8,1
1,NewOrder,1749691759.518334,6812,5,1
1,NewOrder,1749691759.518886,11929,7,1
5,StockLevel,1749691759.519744,5990,9,1
2,Payment,1749691759.522262,3914,8,1
2,Payment,1749691759.522956,3897,1,1
2,Payment,1749691759.523044,4503,3,1
1,NewOrder,1749691759.525203,16623,5,1
1,NewOrder,1749691759.525776,8874,9,1
1,NewOrder,1749691759.526235,10343,8,1
1,NewOrder,1749691759.526911,11836,1,1
2,Payment,1749691759.527602,4730,3,1
2,Payment,1749691759.528240,4899,4,1
1,NewOrder,1749691759.529501,8585,2,1
2,Payment,1749691759.530857,3818,7,1
1,NewOrder,1749691759.532377,10418,3,1
2,Payment,1749691759.533107,6180,6,1
1,NewOrder,1749691759.533191,14164,4,1
2,Payment,1749691759.534245,4410,0,1
2,Payment,1749691759.534693,4070,9,1
1,NewOrder,1749691759.534733,13153,7,1
1,NewOrder,1749691759.536707,12706,8,1
1,NewOrder,1749691759.538131,12305,2,1
1,NewOrder,1749691759.538709,9902,0,1
1,NewOrder,1749691759.538795,9092,1,1
1,NewOrder,1749691759.538817,17158,9,1
2,Payment,1749691759.539344,4093,6,1
2,Payment,1749691759.541879,4551,5,1
1,NewOrder,1749691759.542841,8688,3,1
2,Payment,1749691759.543491,5106,6,1
1,NewOrder,1749691759.546486,11868,5,1
1,NewOrder,1749691759.547422,7724,4,1
2,Payment,1749691759.547907,4561,7,1
1,NewOrder,1749691759.547934,13688,1,1
2,Payment,1749691759.548651,4365,6,1
5,StockLevel,1749691759.548671,7315,0,1
1,NewOrder,1749691759.549438,11441,8,1
1,NewOrder,1749691759.550493,11772,2,1
2,Payment,1749691759.551581,4928,3,1
2,Payment,1749691759.552516,3982,7,1
2,Payment,1749691759.553098,3329,6,1
1,NewOrder,1749691759.555201,11973,4,1
1,NewOrder,1749691759.556041,11647,9,1
1,NewOrder,1749691759.556041,11162,0,1
2,Payment,1749691759.556488,4395,6,1
1,NewOrder,1749691759.556551,12166,7,1
2,Payment,1749691759.556566,3636,3,1
1,NewOrder,1749691759.558410,15720,5,1
2,Payment,1749691759.560401,5006,3,1
1,NewOrder,1749691759.560939,10366,8,1
1,NewOrder,1749691759.560943,17569,6,1
2,Payment,1749691759.561667,4697,1,1
1,NewOrder,1749691759.562320,8315,2,1
2,Payment,1749691759.565459,3894,3,1
2,Payment,1749691759.566415,3509,1,1
2,Payment,1749691759.567229,4117,4,1
2,Payment,1749691759.567271,4025,0,1
2,Payment,1749691759.567739,4221,9,1
2,Payment,1749691759.568770,3875,7,1
2,Payment,1749691759.569441,3837,3,1
2,Payment,1749691759.569979,3243,1,1
4,Delivery,1749691759.570691,25693,2,1
1,NewOrder,1749691759.571365,11388,8,1
2,Payment,1749691759.571396,3606,4,1
2,Payment,1749691759.571484,4183,0,1
1,NewOrder,1749691759.572039,18529,9,1
1,NewOrder,1749691759.572698,14099,7,1
1,NewOrder,1749691759.573270,14281,1,1
2,Payment,1749691759.573320,4281,3,1
1,NewOrder,1749691759.574176,11913,5,1
2,Payment,1749691759.575057,4045,4,1
5,StockLevel,1749691759.575711,7077,0,1
2,Payment,1749691759.577641,4443,3,1
1,NewOrder,1749691759.578609,13949,6,1
1,NewOrder,1749691759.579159,14319,4,1
1,NewOrder,1749691759.582137,13424,3,1
1,NewOrder,1749691759.582815,14764,8,1
1,NewOrder,1749691759.582835,15400,0,1
2,Payment,1749691759.586145,3728,5,1
5,StockLevel,1749691759.586846,6644,7,1
