Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,741.800,8.434,1.271,3.975,8.475,11.869,14.437,15.523,17.949,22.391,0.119
5,684.000,9.063,1.198,5.564,9.351,12.315,14.487,15.291,16.891,22.753,0.110
10,581.400,10.885,1.951,8.842,10.937,13.270,14.778,15.512,16.659,20.199,0.092
15,590.600,10.762,1.883,8.691,10.947,13.126,14.681,15.394,16.580,20.402,0.093
20,578.800,11.026,2.367,8.872,11.055,13.241,14.780,15.442,16.555,18.052,0.091
25,643.200,9.802,1.232,7.057,9.897,12.902,14.881,15.863,22.808,40.348,0.102
30,712.000,8.999,1.133,4.423,9.225,12.402,14.779,15.848,20.224,32.202,0.111
35,549.800,11.352,2.266,8.942,11.235,13.696,15.249,16.144,20.569,29.876,0.088
40,670.800,9.365,1.095,4.094,9.724,12.928,15.040,16.057,23.112,36.802,0.107
45,565.000,11.194,1.450,8.711,11.083,13.562,15.311,16.182,24.132,34.760,0.089
50,633.800,9.952,1.222,7.601,10.168,12.898,14.768,15.443,17.168,29.658,0.100
55,573.400,11.035,1.653,8.865,10.998,13.278,14.756,15.422,16.622,21.372,0.091
60,114.000,11.235,6.391,9.113,11.009,13.209,14.586,15.281,16.815,19.476,0.089
