Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1642.800,6.061,0.244,2.567,3.936,8.596,13.321,15.389,27.158,36.441,0.165
5,1553.600,6.416,0.202,3.072,4.034,9.399,13.472,15.291,27.123,31.219,0.156
10,1290.600,7.726,0.310,3.561,5.004,11.228,14.345,15.983,27.434,30.781,0.129
15,1333.400,7.481,0.273,3.508,4.595,11.072,14.158,15.565,27.179,34.498,0.134
20,1279.400,7.784,0.273,3.571,5.388,11.327,14.366,15.876,27.110,30.210,0.128
25,1438.600,6.934,0.255,3.279,4.190,10.029,14.093,15.988,28.603,61.110,0.144
30,1555.600,6.405,0.216,2.850,4.116,9.442,13.710,15.651,27.495,38.625,0.156
35,1227.200,8.129,0.439,3.725,5.600,11.591,14.916,17.534,28.464,32.941,0.123
40,1485.000,6.715,0.207,3.039,4.046,9.901,14.238,16.212,28.545,36.802,0.149
45,1276.200,7.822,0.304,3.644,4.816,11.250,14.753,16.770,28.340,34.760,0.128
50,1422.200,7.013,0.258,3.401,4.290,10.323,14.004,15.686,27.058,31.615,0.143
55,1270.000,7.856,0.438,3.670,5.412,11.323,14.323,15.943,27.218,33.722,0.127
60,245.400,8.030,1.170,3.706,7.030,11.554,14.224,15.972,26.886,31.586,0.125
