Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1745990087.2380714	1745990352.022069	264.78399753570557	0.0
2	1745990352.0757313	1745990614.1458592	262.0701279640198	0.05366230010986328
3	1745990614.2299063	1745990851.5114157	237.28150939941406	0.08404707908630371
4	1745990851.5693157	1745991100.9855883	249.41627264022827	0.05789995193481445
5	1745991101.0724618	1745991362.086641	261.0141792297363	0.08687353134155273
6	1745991362.1745832	1745991639.7222362	277.5476529598236	0.08794212341308594
7	1745991639.8118331	1745991882.9050052	243.09317207336426	0.08959698677062988
8	1745991882.9710386	1745992128.6413207	245.67028212547302	0.06603336334228516
9	1745992131.0743842	1745992404.9980292	273.92364501953125	2.433063507080078
10	1745992405.0909517	1745992661.5410082	256.45005655288696	0.09292244911193848
11	1745992661.633986	1745992902.5714707	240.93748474121094	0.09297776222229004
12	1745992902.6042438	1745993160.378326	257.7740821838379	0.03277301788330078
13	1745993160.476033	1745993343.3217928	182.84575986862183	0.09770703315734863
14	1745993343.4199052	1745993536.8917637	193.47185850143433	0.09811234474182129
15	1745993536.9305289	1745993713.0136178	176.0830888748169	0.03876519203186035
16	1745993713.1188076	1745993890.1362948	177.01748728752136	0.10518980026245117
17	1745993890.3201394	1745994071.955946	181.63580656051636	0.18384456634521484
18	1745994074.5330048	1745994307.0707858	232.53778100013733	2.577058792114258
19	1745994307.1757631	1745994547.1446838	239.96892070770264	0.10497736930847168
20	1745994547.2493536	1745994807.0540173	259.8046636581421	0.10466980934143066
21	1745994807.148915	1745995061.7809658	254.63205075263977	0.09489774703979492
22	1745995061.8634481	1745995314.5242364	252.6607882976532	0.08248233795166016
23	1745995314.5571322	1745995578.952721	264.3955888748169	0.032895803451538086
24	1745995579.0544093	1745995840.197252	261.1428427696228	0.10168814659118652
25	1745995840.3320792	1745996033.4119663	193.07988715171814	0.1348271369934082
26	1745996035.7743452	1745996228.2470257	192.47268056869507	2.3623788356781006
27	1745996228.3710973	1745996418.4760606	190.1049633026123	0.12407159805297852
28	1745996418.597556	1745996638.1241503	219.5265941619873	0.12149548530578613
29	1745996638.204904	1745996830.3690658	192.1641616821289	0.08075380325317383
30	1745996830.4934006	1745997068.6939907	238.200590133667	0.12433481216430664
31	1745997068.7234342	1745997315.0378084	246.31437420845032	0.02944350242614746
32	1745997315.140351	1745997518.4501505	203.30979943275452	0.10254263877868652
33	1745997521.0149913	1745997747.8130524	226.79806113243103	2.564840793609619
34	1745997747.8500779	1745997988.4532676	240.60318970680237	0.03702545166015625
35	1745997988.5778694	1745998248.800577	260.2227075099945	0.12460184097290039
36	1745998248.8334117	1745998505.4254699	256.5920581817627	0.032834768295288086
37	1745998505.539608	1745998770.5181787	264.9785706996918	0.11413812637329102
38	1745998770.605089	1745999015.6560833	245.05099439620972	0.08691024780273438
39	1745999015.780374	1745999282.0489795	266.26860547065735	0.12429070472717285
40	1745999282.1668057	1745999550.4166825	268.2498767375946	0.11782622337341309
41	1745999553.0695927	1745999822.3041806	269.23458790779114	2.6529102325439453
42	1745999822.356501	1746000073.9760745	251.61957335472107	0.05232048034667969
43	1746000074.1076686	1746000340.8254285	266.717759847641	0.13159418106079102
44	1746000340.9364424	1746000553.734011	212.7975685596466	0.11101388931274414
45	1746000553.8802488	1746000795.5135746	241.6333258152008	0.14623785018920898
46	1746000795.6215198	1746001062.6898925	267.06837272644043	0.10794520378112793
47	1746001062.7250059	1746001287.0340667	224.30906081199646	0.03511333465576172
48	1746001287.185234	1746001529.5100834	242.32484936714172	0.1511673927307129
49	1746001532.1824083	1746001774.3750665	242.19265818595886	2.6723248958587646
50	1746001774.4843473	1746002019.8733075	245.38896012306213	0.10928082466125488
51	1746002019.9125485	1746002284.1191273	264.20657873153687	0.03924107551574707
52	1746002284.252547	1746002548.7677727	264.51522564888	0.13341975212097168
53	1746002548.8642914	1746002820.6845658	271.82027435302734	0.09651875495910645
54	1746002820.8224647	1746003036.8944337	216.0719690322876	0.13789892196655273
55	1746003037.0482972	1746003279.4926322	242.44433498382568	0.15386343002319336
56	1746003279.633302	1746003524.2236583	244.59035634994507	0.1406698226928711
57	1746003526.7521994	1746003737.6462533	210.89405393600464	2.528541088104248
58	1746003737.812724	1746003982.8053546	244.99263048171997	0.16647076606750488
59	1746003982.942778	1746004196.8160238	213.87324571609497	0.13742351531982422
60	1746004196.975084	1746004437.0037835	240.02869939804077	0.15906023979187012
61	1746004437.159641	1746004640.2239938	203.0643527507782	0.15585756301879883
62	1746004640.3910418	1746004831.9047818	191.51374006271362	0.16704797744750977
63	1746004832.0651262	1746005059.9903476	227.92522144317627	0.16034436225891113
64	1746005060.1150336	1746005297.2944567	237.17942309379578	0.12468600273132324
65	1746005297.4942446	1746005565.2303643	267.73611974716187	0.19978785514831543
66	1746005567.9798994	1746005775.9221256	207.94222617149353	2.749535083770752
67	1746005776.05274	1746005979.0514934	202.99875330924988	0.1306145191192627
68	1746005979.1757255	1746006165.5953999	186.4196743965149	0.12423205375671387
69	1746006165.7631783	1746006376.76011	210.99693155288696	0.16777849197387695
70	1746006376.8180988	1746006557.2990148	180.4809160232544	0.057988882064819336
71	1746006557.4641235	1746006772.6230016	215.15887808799744	0.16510868072509766
72	1746006772.7718735	1746006983.9992425	211.2273690700531	0.14887189865112305
73	1746006986.3124104	1746007142.2219424	155.9095320701599	2.3131678104400635
74	1746007142.3883274	1746007349.9731731	207.5848457813263	0.16638493537902832
75	1746007350.0880082	1746007561.4069526	211.31894445419312	0.11483502388000488
76	1746007561.4511743	1746007741.7776868	180.32651257514954	0.04422163963317871
77	1746007741.9497135	1746007920.6047614	178.65504789352417	0.1720266342163086
78	1746007920.779699	1746008076.312112	155.53241300582886	0.17493772506713867
79	1746008076.504379	1746008284.553756	208.0493769645691	0.19226694107055664
80	1746008284.7230384	1746008450.6729665	165.94992804527283	0.1692824363708496
