Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.200,5149.410,5149.410,5149.410,5149.410,5149.410,5149.410,5149.410,5149.410,5149.410,0.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.200,3472.287,3472.287,3472.287,3472.287,3472.287,3472.287,3472.287,3472.287,3472.287,0.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.200,3637.333,3637.333,3637.333,3637.333,3637.333,3637.333,3637.333,3637.333,3637.333,0.000
40,0.200,3961.251,3961.251,3961.251,3961.251,3961.251,3961.251,3961.251,3961.251,3961.251,0.000
45,0.200,7159.517,7159.517,7159.517,7159.517,7159.517,7159.517,7159.517,7159.517,7159.517,0.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
