Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.600,1968.859,228.459,776.339,1102.253,1193.004,1339.584,1340.363,25513.534,25513.534,0.001
5,2.600,3205.701,324.664,674.736,4440.466,5065.518,5065.970,5067.181,5067.181,5067.181,0.000
10,5.200,2250.296,276.965,644.785,1304.996,1739.437,1796.366,5149.410,25902.724,25902.724,0.000
15,3.000,2724.947,385.088,762.271,1189.642,4809.590,5107.892,5108.315,5108.315,5108.315,0.000
20,5.200,1132.993,339.276,561.642,1357.781,1454.122,1592.683,1596.118,1596.419,1596.419,0.001
25,8.400,965.995,244.773,815.426,1010.080,1097.454,1169.959,1276.368,3472.287,3472.287,0.001
30,10.600,879.392,288.144,781.957,986.915,1042.304,1067.730,1149.734,1150.084,1150.084,0.001
35,10.600,859.873,226.308,728.546,882.226,985.946,1072.373,1184.219,3637.333,3637.333,0.001
40,9.800,930.599,277.853,697.487,961.919,1092.635,1150.778,1153.422,3961.251,3961.251,0.001
45,5.600,1166.943,347.827,733.119,1133.906,1182.743,1394.932,1395.118,7159.517,7159.517,0.001
50,0.200,5017.092,5017.092,5017.092,5017.092,5017.092,5017.092,5017.092,5017.092,5017.092,0.000
