Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1746008223.072108,5344,5,1
2,Payment,1746008223.072856,1251,9,1
1,NewOrder,1746008223.074210,23999,9,1
2,Payment,1746008223.075073,2399,8,1
1,NewOrder,1746008223.077285,26094,1,1
1,NewOrder,1746008223.077479,17608,5,1
1,NewOrder,1746008223.077490,18666,8,1
2,Payment,1746008223.081312,5788,4,1
1,NewOrder,1746008223.082285,22867,0,1
1,NewOrder,1746008223.082836,17336,6,1
3,OrderStatus,1746008223.085091,7354,7,1
2,Payment,1746008223.086464,4953,2,1
2,Payment,1746008223.087128,10380,4,1
1,NewOrder,1746008223.091441,13787,2,1
2,Payment,1746008223.091745,11972,3,1
2,Payment,1746008223.092470,7881,7,1
2,Payment,1746008223.095116,1330,5,1
2,Payment,1746008223.096177,1219,8,1
2,Payment,1746008223.096460,4907,5,1
1,NewOrder,1746008223.097410,3935,8,1
1,NewOrder,1746008223.097517,12265,4,1
1,NewOrder,1746008223.098220,14274,9,1
2,Payment,1746008223.100195,6926,6,1
1,NewOrder,1746008223.100366,6497,7,1
1,NewOrder,1746008223.101364,19851,8,1
2,Payment,1746008223.101382,9700,5,1
2,Payment,1746008223.103398,6029,1,1
4,Delivery,1746008223.103740,55864,3,1
1,NewOrder,1746008223.105174,18065,0,1
2,Payment,1746008223.105244,4519,2,1
1,NewOrder,1746008223.106885,10154,7,1
1,NewOrder,1746008223.107137,22492,6,1
2,Payment,1746008223.109459,11638,1,1
2,Payment,1746008223.109780,4558,2,1
5,StockLevel,1746008223.109798,14011,4,1
3,OrderStatus,1746008223.111097,2281,5,1
1,NewOrder,1746008223.112517,18221,9,1
1,NewOrder,1746008223.113402,30510,5,1
2,Payment,1746008223.114360,11129,2,1
1,NewOrder,1746008223.117067,19586,7,1
1,NewOrder,1746008223.121120,15643,1,1
2,Payment,1746008223.121231,1705,8,1
2,Payment,1746008223.122962,8827,8,1
2,Payment,1746008223.123254,5894,0,1
1,NewOrder,1746008223.123826,25912,4,1
1,NewOrder,1746008223.125506,7375,2,1
2,Payment,1746008223.129184,1475,0,1
1,NewOrder,1746008223.129648,14990,6,1
3,OrderStatus,1746008223.130675,3517,0,1
2,Payment,1746008223.130752,9263,9,1
1,NewOrder,1746008223.131804,40647,8,1
2,Payment,1746008223.132896,4925,2,1
2,Payment,1746008223.134222,6464,0,1
1,NewOrder,1746008223.136680,25738,7,1
1,NewOrder,1746008223.136779,19894,1,1
2,Payment,1746008223.137837,1542,2,1
2,Payment,1746008223.139398,9873,2,1
1,NewOrder,1746008223.140038,31930,9,1
1,NewOrder,1746008223.140709,19616,0,1
5,StockLevel,1746008223.143939,12530,5,1
2,Payment,1746008223.144658,5531,6,1
1,NewOrder,1746008223.149356,16226,2,1
2,Payment,1746008223.149758,5358,4,1
1,NewOrder,1746008223.150212,35673,6,1
2,Payment,1746008223.155140,5714,4,1
2,Payment,1746008223.156487,1816,5,1
1,NewOrder,1746008223.156699,13291,1,1
1,NewOrder,1746008223.158324,21268,5,1
3,OrderStatus,1746008223.159622,2553,3,1
2,Payment,1746008223.160340,5132,0,1
2,Payment,1746008223.160872,5552,4,1
2,Payment,1746008223.162191,1312,3,1
1,NewOrder,1746008223.162434,14236,7,1
1,NewOrder,1746008223.163519,12326,3,1
2,Payment,1746008223.165498,5167,0,1
1,NewOrder,1746008223.165601,6636,2,1
4,Delivery,1746008223.166439,49725,4,1
1,NewOrder,1746008223.170022,26712,1,1
2,Payment,1746008223.170680,10665,0,1
2,Payment,1746008223.171991,7059,9,1
1,NewOrder,1746008223.172249,18328,2,1
4,Delivery,1746008223.172468,39976,8,1
2,Payment,1746008223.175871,2020,3,1
1,NewOrder,1746008223.176686,15992,7,1
1,NewOrder,1746008223.177916,21905,3,1
1,NewOrder,1746008223.179092,31751,9,1
1,NewOrder,1746008223.179606,23199,5,1
1,NewOrder,1746008223.181362,11540,0,1
2,Payment,1746008223.185909,9573,6,1
1,NewOrder,1746008223.190610,13625,2,1
2,Payment,1746008223.192706,9432,7,1
2,Payment,1746008223.192918,1219,0,1
1,NewOrder,1746008223.194152,9651,0,1
5,StockLevel,1746008223.195500,13082,6,1
1,NewOrder,1746008223.196761,17550,1,1
2,Payment,1746008223.199855,7562,3,1
1,NewOrder,1746008223.202159,21590,7,1
1,NewOrder,1746008223.202830,29568,5,1
1,NewOrder,1746008223.203826,23054,0,1
2,Payment,1746008223.204263,1849,2,1
1,NewOrder,1746008223.206134,29646,2,1
2,Payment,1746008223.207445,6650,3,1
3,OrderStatus,1746008223.208599,3412,6,1
3,OrderStatus,1746008223.210866,5745,9,1
1,NewOrder,1746008223.212026,8509,6,1
1,NewOrder,1746008223.212457,11536,8,1
5,StockLevel,1746008223.214115,9003,3,1
1,NewOrder,1746008223.214348,17954,1,1
1,NewOrder,1746008223.216181,22486,4,1
1,NewOrder,1746008223.216623,34262,9,1
1,NewOrder,1746008223.220562,41751,6,1
2,Payment,1746008223.223157,5644,3,1
1,NewOrder,1746008223.223790,19414,7,1
2,Payment,1746008223.224008,5244,8,1
2,Payment,1746008223.226916,11498,0,1
2,Payment,1746008223.228829,4997,3,1
1,NewOrder,1746008223.229266,18543,8,1
4,Delivery,1746008223.232341,48466,1,1
1,NewOrder,1746008223.232416,16855,5,1
2,Payment,1746008223.233841,10813,3,1
2,Payment,1746008223.235799,1817,2,1
1,NewOrder,1746008223.237644,27850,2,1
1,NewOrder,1746008223.238429,16978,0,1
5,StockLevel,1746008223.238680,13343,4,1
2,Payment,1746008223.243232,4433,7,1
1,NewOrder,1746008223.244686,14195,3,1
2,Payment,1746008223.247687,10895,7,1
1,NewOrder,1746008223.247826,14070,8,1
1,NewOrder,1746008223.249290,12141,5,1
5,StockLevel,1746008223.250909,7500,9,1
1,NewOrder,1746008223.252043,31226,4,1
2,Payment,1746008223.255432,1826,0,1
1,NewOrder,1746008223.257294,23284,0,1
2,Payment,1746008223.258431,9951,9,1
1,NewOrder,1746008223.258602,23841,7,1
2,Payment,1746008223.258895,5891,3,1
2,Payment,1746008223.261456,8289,5,1
1,NewOrder,1746008223.261930,22103,8,1
2,Payment,1746008223.262334,1612,6,1
2,Payment,1746008223.263971,4794,6,1
2,Payment,1746008223.264804,5180,3,1
1,NewOrder,1746008223.265506,16365,2,1
2,Payment,1746008223.268410,7133,9,1
1,NewOrder,1746008223.268781,7853,6,1
2,Payment,1746008223.269758,2321,5,1
1,NewOrder,1746008223.270003,24685,3,1
4,Delivery,1746008223.272103,43441,5,1
4,Delivery,1746008223.275568,46107,9,1
2,Payment,1746008223.276657,1690,6,1
1,NewOrder,1746008223.278375,18107,6,1
2,Payment,1746008223.280600,5346,0,1
2,Payment,1746008223.280823,10203,1,1
1,NewOrder,1746008223.281889,6717,2,1
1,NewOrder,1746008223.282458,26411,7,1
1,NewOrder,1746008223.283284,6606,4,1
2,Payment,1746008223.284048,13610,8,1
1,NewOrder,1746008223.285968,13690,0,1
1,NewOrder,1746008223.288628,3314,2,1
1,NewOrder,1746008223.289916,6296,4,1
1,NewOrder,1746008223.291046,35809,1,1
1,NewOrder,1746008223.291960,14219,2,1
2,Payment,1746008223.294713,5231,3,1
1,NewOrder,1746008223.296231,20868,4,1
2,Payment,1746008223.296497,1432,6,1
1,NewOrder,1746008223.297674,13625,8,1
1,NewOrder,1746008223.297938,26340,6,1
5,StockLevel,1746008223.299685,12143,0,1
1,NewOrder,1746008223.299959,17216,3,1
1,NewOrder,1746008223.306211,21712,2,1
1,NewOrder,1746008223.308898,10776,7,1
1,NewOrder,1746008223.311330,37325,8,1
2,Payment,1746008223.311845,1031,0,1
1,NewOrder,1746008223.312889,28655,0,1
5,StockLevel,1746008223.315577,9494,5,1
2,Payment,1746008223.317120,7765,4,1
1,NewOrder,1746008223.317192,17712,3,1
2,Payment,1746008223.319701,9822,7,1
1,NewOrder,1746008223.321697,12661,9,1
1,NewOrder,1746008223.324300,18194,6,1
2,Payment,1746008223.324901,4581,4,1
1,NewOrder,1746008223.325097,10777,5,1
4,Delivery,1746008223.326881,37029,1,1
2,Payment,1746008223.327946,1539,2,1
1,NewOrder,1746008223.329502,25144,4,1
1,NewOrder,1746008223.329542,26578,2,1
1,NewOrder,1746008223.329558,22767,7,1
2,Payment,1746008223.334416,1620,9,1
2,Payment,1746008223.334927,5160,3,1
5,StockLevel,1746008223.335890,1534,5,1
1,NewOrder,1746008223.336075,19063,9,1
2,Payment,1746008223.337445,6303,5,1
5,StockLevel,1746008223.340114,4776,3,1
2,Payment,1746008223.341574,5242,0,1
1,NewOrder,1746008223.342515,11279,6,1
1,NewOrder,1746008223.343767,14202,5,1
1,NewOrder,1746008223.344921,57955,3,1
1,NewOrder,1746008223.346843,23317,0,1
1,NewOrder,1746008223.348679,28849,8,1
3,OrderStatus,1746008223.352351,8097,7,1
1,NewOrder,1746008223.353816,10951,6,1
2,Payment,1746008223.354667,9851,4,1
1,NewOrder,1746008223.355177,18900,9,1
1,NewOrder,1746008223.356137,25207,2,1
3,OrderStatus,1746008223.357997,2842,5,1
2,Payment,1746008223.360478,1736,7,1
2,Payment,1746008223.360861,5971,5,1
1,NewOrder,1746008223.362236,18905,7,1
2,Payment,1746008223.363939,8458,1,1
2,Payment,1746008223.364534,5534,4,1
1,NewOrder,1746008223.364787,26492,6,1
1,NewOrder,1746008223.366857,18882,5,1
2,Payment,1746008223.370100,1853,4,1
2,Payment,1746008223.370184,12968,0,1
1,NewOrder,1746008223.371974,32910,4,1
2,Payment,1746008223.372422,5183,1,1
1,NewOrder,1746008223.374106,37609,9,1
2,Payment,1746008223.377566,5933,8,1
2,Payment,1746008223.377628,1233,1,1
2,Payment,1746008223.378878,15002,1,1
3,OrderStatus,1746008223.381170,6329,7,1
5,StockLevel,1746008223.381362,10413,2,1
1,NewOrder,1746008223.383174,8330,0,1
1,NewOrder,1746008223.383525,23031,8,1
2,Payment,1746008223.385763,5727,5,1
3,OrderStatus,1746008223.387522,7841,7,1
2,Payment,1746008223.391311,9764,6,1
1,NewOrder,1746008223.391516,22261,5,1
1,NewOrder,1746008223.391522,27738,0,1
1,NewOrder,1746008223.391796,14715,2,1
1,NewOrder,1746008223.393901,37503,1,1
1,NewOrder,1746008223.395402,4051,7,1
1,NewOrder,1746008223.399489,24622,7,1
1,NewOrder,1746008223.401130,32540,6,1
2,Payment,1746008223.402914,7642,3,1
2,Payment,1746008223.404913,5508,4,1
1,NewOrder,1746008223.406541,13882,2,1
2,Payment,1746008223.406575,7783,8,1
2,Payment,1746008223.410451,1910,4,1
1,NewOrder,1746008223.410595,14657,3,1
1,NewOrder,1746008223.411756,16159,9,1
1,NewOrder,1746008223.412378,13200,4,1
2,Payment,1746008223.413805,2042,5,1
1,NewOrder,1746008223.414383,26843,8,1
4,Delivery,1746008223.415867,55941,5,1
2,Payment,1746008223.419307,5829,0,1
1,NewOrder,1746008223.420473,3200,2,1
1,NewOrder,1746008223.423697,13053,2,1
2,Payment,1746008223.424131,5247,7,1
1,NewOrder,1746008223.425158,24860,0,1
3,OrderStatus,1746008223.425268,12120,3,1
1,NewOrder,1746008223.425589,16316,4,1
2,Payment,1746008223.427937,1819,9,1
