Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,298.600,5.455,0.724,1.847,5.105,7.796,10.380,12.267,16.948,23.423,0.183
5,314.400,5.200,0.633,1.710,4.853,7.205,10.493,12.582,17.598,31.156,0.192
10,243.400,6.381,0.741,2.052,5.982,9.169,12.648,15.601,19.765,27.123,0.157
15,301.400,5.356,0.748,1.653,5.124,7.666,10.955,13.063,17.534,27.432,0.187
20,317.800,4.757,0.666,1.548,4.648,6.756,9.448,11.391,16.119,26.741,0.210
25,307.200,5.409,0.696,1.756,5.397,7.602,10.935,12.804,17.951,26.199,0.185
30,288.400,5.382,0.692,1.755,5.482,7.539,10.649,12.708,16.742,23.066,0.186
35,315.600,4.851,0.741,1.541,4.892,6.894,9.688,11.958,15.816,19.424,0.206
40,327.200,5.101,0.731,1.596,5.033,7.198,10.037,12.133,16.732,23.002,0.196
45,303.600,5.350,0.741,1.711,5.204,7.570,10.844,13.350,18.118,27.692,0.187
50,317.800,5.325,0.738,1.657,5.103,7.714,10.321,12.755,17.374,25.104,0.188
55,362.400,4.471,0.681,1.415,4.612,6.185,8.765,10.494,15.285,23.436,0.224
60,68.800,5.155,0.815,1.579,5.385,6.711,10.425,11.961,15.038,20.626,0.194
