Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,751,751.000,894,5328,10029,13343,18593,27429,35809,52454,100432
1,765,765.000,807,4614,8741,13108,17928,28542,36643,64300,146169
2,579,579.000,1128,6545,12436,17182,23780,36049,45278,73451,143447
3,590,590.000,1173,6263,12028,16936,24805,37348,46888,69033,105182
4,814,814.000,724,4611,9286,12208,17361,24637,32487,52560,102054
5,799,799.000,749,4913,9067,12478,17787,25838,34145,56691,85261
6,787,787.000,633,4253,9001,12714,17662,28641,35742,57976,95212
7,513,513.000,1099,7876,14633,19664,28016,40203,52363,96225,131254
8,716,716.000,695,4762,10105,13880,20258,29003,36546,59234,140810
9,814,814.000,709,4366,8833,12296,17197,27028,35133,59952,106772
10,517,517.000,1110,3652,13386,19261,27729,41464,56640,97393,120312
11,561,561.000,1067,6531,12562,17941,26129,38377,51674,80309,107581
12,539,539.000,1192,6812,13986,18448,28024,40557,49465,66787,91145
13,544,544.000,750,6719,11909,18468,25429,41440,54825,97939,145994
14,732,732.000,741,4770,9530,13556,19022,31129,39577,55463,93023
15,675,675.000,876,3332,10260,14824,20882,34202,42979,65841,151030
16,657,657.000,931,3994,10312,15225,21411,32858,44673,82076,136123
17,588,588.000,825,6377,12032,16976,22644,36563,48456,73475,177649
18,753,753.000,821,4754,9507,13309,19859,28645,38438,60292,78578
19,820,820.000,748,4549,8664,12188,16360,25888,35503,54199,114045
20,763,763.000,666,4055,9447,13031,19281,28547,34418,64597,79839
21,785,785.000,736,4261,9254,12700,17973,27828,34914,57843,108584
22,719,719.000,614,4816,9374,13828,19426,30415,40684,66528,83006
23,663,663.000,951,4315,10126,15041,21443,33129,41449,73592,106442
24,827,827.000,788,4469,8891,12087,17602,25693,33931,49668,98037
25,740,740.000,767,5397,10021,13736,19954,29082,38411,59157,73141
26,611,611.000,774,5548,11007,16295,23157,38066,47450,74723,104403
27,610,610.000,1001,5623,11013,16340,22787,35726,43846,82713,147124
28,763,763.000,744,3679,9146,12975,18901,28700,35883,59251,104271
29,797,797.000,602,4410,8533,12547,17788,27290,36082,60687,77396
30,744,744.000,692,4879,9643,13536,19177,31359,38860,61975,95306
31,665,665.000,751,5084,10163,15014,20585,31960,43584,73810,117575
32,647,647.000,811,5367,10562,15510,21615,34162,45925,80726,96843
33,588,588.000,1045,6368,12125,16795,23970,36647,44331,75193,103553
34,788,788.000,759,4691,9138,12759,18355,27867,38088,56335,92477
35,719,719.000,749,4595,10583,13940,19334,30796,38042,59561,78752
36,764,764.000,741,4784,9631,13083,19193,29152,36372,58536,77557
37,744,744.000,754,4685,9490,13322,19019,28109,36102,66021,111625
38,723,723.000,783,5693,10394,13855,19334,28673,38226,57192,106721
39,917,917.000,744,3830,7949,10885,16003,22701,28823,44490,58824
40,772,772.000,479,4796,8597,13002,18578,28136,37171,60383,109456
41,647,647.000,784,5338,10784,15441,21678,33217,39894,71700,151142
42,718,718.000,847,5188,10196,13839,18845,29178,38672,69562,111172
43,734,734.000,781,4099,8892,13609,18727,30748,42503,64325,90368
44,852,852.000,617,4370,8290,11722,16623,24422,32406,57080,97844
45,632,632.000,849,5136,10943,15939,22601,35039,48519,71585,153435
46,616,616.000,877,5797,12059,16158,23533,35533,44990,61775,89524
47,750,750.000,750,4466,9978,13258,18667,29199,36537,62264,77913
48,799,799.000,795,4762,9040,12524,18232,27683,34595,48355,95836
49,716,716.000,604,4398,9663,14061,19881,32379,40682,59977,88960
50,608,608.000,814,6065,11196,16264,22311,34377,45977,79339,145372
51,595,595.000,759,6395,10827,16898,24215,37933,54072,76861,89023
52,732,732.000,697,4481,9011,13536,18686,31653,40973,67702,91530
53,829,829.000,777,3856,8260,12132,17968,26533,33618,59957,69518
54,847,847.000,692,4306,8466,11763,16407,25433,31740,54804,94912
55,916,916.000,665,3965,7740,10971,15562,24216,32267,49057,75893
56,900,900.000,552,3403,7069,11022,16462,24327,30972,53190,73582
57,890,890.000,791,4579,7912,11202,15439,24190,30725,52727,74083
58,675,675.000,875,5701,9931,14910,20527,31531,42845,72631,158269
59,843,843.000,660,3989,8291,11798,15986,25494,34216,58997,115939
60,784,784.000,600,4914,8876,12412,17786,27063,34653,54596,72031
