Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.600,2.414,1.414,1.592,2.211,2.826,4.118,4.855,6.043,6.043,0.414
5,19.800,1.779,1.306,1.491,1.597,2.045,2.350,2.535,3.569,3.569,0.562
10,16.400,1.660,1.246,1.433,1.538,1.799,2.203,2.449,2.664,2.664,0.603
15,20.400,1.621,1.198,1.399,1.470,1.687,2.214,2.368,2.607,2.625,0.617
20,18.000,1.664,1.215,1.433,1.521,1.952,2.277,2.356,2.457,2.457,0.601
25,20.400,1.676,1.270,1.448,1.549,1.838,2.277,2.356,2.372,2.452,0.597
30,19.400,1.612,1.204,1.444,1.517,1.648,2.155,2.249,2.424,2.424,0.620
35,20.400,1.708,1.275,1.459,1.571,1.880,2.280,2.346,2.562,2.837,0.585
40,16.800,1.678,1.245,1.441,1.551,1.720,2.356,2.453,2.604,2.604,0.596
45,18.200,1.658,1.298,1.422,1.526,1.714,2.244,2.361,2.552,2.552,0.603
50,17.400,1.782,1.257,1.488,1.580,2.191,2.367,2.442,2.636,2.636,0.561
55,16.800,1.665,1.204,1.436,1.522,1.737,2.290,2.387,2.672,2.672,0.600
60,3.800,1.598,1.378,1.462,1.524,1.617,1.944,2.305,2.305,2.305,0.626
