Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,454.800,21.993,0.433,1.678,2.826,44.274,54.779,83.164,158.647,274.834,0.045
5,464.800,21.511,0.417,1.520,2.463,44.029,57.637,81.137,146.828,230.217,0.046
10,433.400,23.055,0.379,1.499,2.526,44.435,63.420,81.793,148.618,465.834,0.043
15,455.600,21.965,0.388,1.456,2.532,44.028,55.984,80.470,156.048,320.701,0.046
20,458.800,21.751,0.443,1.521,2.572,43.882,59.137,79.447,145.426,200.535,0.046
25,493.800,20.250,0.404,1.386,2.262,43.627,52.721,78.915,153.891,263.736,0.049
30,460.400,21.732,0.404,1.468,2.375,43.843,57.636,81.323,152.887,339.203,0.046
35,435.800,22.886,0.392,1.526,2.528,44.245,60.155,80.801,163.864,281.488,0.044
40,489.800,20.411,0.409,1.439,2.329,43.804,54.725,78.992,148.239,241.993,0.049
45,479.400,20.935,0.394,1.435,2.325,43.886,53.989,78.717,148.699,303.084,0.048
50,464.000,21.544,0.399,1.485,2.398,43.825,58.783,81.428,142.791,305.706,0.046
55,478.800,20.868,0.381,1.424,2.345,43.655,59.287,79.177,135.913,312.348,0.048
60,96.600,19.128,0.414,1.465,2.225,43.205,55.448,78.370,133.148,180.057,0.052
