Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,40.371,13.868,20.097,51.396,53.589,58.700,85.275,143.748,143.748,0.025
5,17.400,49.437,19.559,20.794,57.462,63.250,73.987,89.011,112.917,112.917,0.020
10,15.200,52.415,19.103,22.301,62.344,64.289,77.845,93.254,113.584,113.584,0.019
15,15.200,46.892,19.109,19.981,62.285,65.194,70.431,97.908,114.258,114.258,0.021
20,17.200,53.118,19.412,24.851,62.722,64.925,78.343,84.940,108.657,108.657,0.019
25,21.600,51.291,18.993,22.163,62.577,64.369,72.633,83.379,108.295,109.710,0.019
30,20.400,52.696,19.026,20.383,62.691,64.149,67.614,97.105,124.746,163.867,0.019
35,19.400,49.623,18.934,20.493,62.628,64.510,77.087,98.546,110.832,110.832,0.020
40,15.400,47.454,18.975,20.016,62.002,64.461,72.535,87.130,112.177,112.177,0.021
45,18.600,52.259,19.290,21.248,62.284,64.162,76.505,102.618,112.026,112.026,0.019
50,18.600,47.144,18.707,19.972,61.569,64.312,70.933,94.496,110.740,110.740,0.021
55,19.000,50.107,18.928,20.116,61.979,64.689,84.009,99.552,111.302,111.302,0.020
60,3.000,38.840,19.268,19.975,24.782,63.658,65.396,65.675,65.675,65.675,0.026
