Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1745889840.5619564	1745889987.3678863	146.8059298992157	0.0
2	1745889987.4378836	1745890076.9064064	89.46852278709412	0.06999731063842773
3	1745890076.980883	1745890204.2618966	127.28101372718811	0.07447648048400879
4	1745890204.3352196	1745890321.1507397	116.81552004814148	0.07332301139831543
5	1745890321.2122133	1745890436.5824423	115.3702290058136	0.06147360801696777
6	1745890436.6573796	1745890506.4927673	69.83538770675659	0.07493734359741211
7	1745890506.5684173	1745890572.151835	65.58341765403748	0.07564997673034668
8	1745890572.2343352	1745890641.2647846	69.03044939041138	0.08250021934509277
9	1745890643.9488373	1745890802.1256201	158.1767828464508	2.6840527057647705
10	1745890802.2039104	1745890967.366358	165.16244769096375	0.07829022407531738
11	1745890967.4469676	1745891135.3102968	167.8633291721344	0.08060956001281738
12	1745891135.3917549	1745891326.319565	190.92781019210815	0.08145809173583984
13	1745891326.395124	1745891554.0486789	227.65355491638184	0.07555890083312988
14	1745891554.136893	1745891737.9101355	183.7732424736023	0.08821415901184082
15	1745891737.947032	1745891910.1253283	172.17829632759094	0.036896467208862305
16	1745891910.2147784	1745892091.3780618	181.1632833480835	0.08945012092590332
17	1745892091.5019102	1745892217.992413	126.49050283432007	0.12384843826293945
18	1745892220.4911103	1745892382.2950454	161.80393505096436	2.498697280883789
19	1745892382.38714	1745892572.5886252	190.20148515701294	0.09209465980529785
20	1745892572.6791332	1745892754.0470002	181.36786699295044	0.09050798416137695
21	1745892754.1356153	1745892954.7718816	200.63626623153687	0.08861517906188965
22	1745892954.8392558	1745893141.3432403	186.50398445129395	0.06737422943115234
23	1745893141.6876457	1745893356.0769203	214.38927459716797	0.3444054126739502
24	1745893356.159675	1745893548.4685154	192.30884051322937	0.08275461196899414
25	1745893548.6304398	1745893712.0881307	163.45769095420837	0.1619243621826172
26	1745893714.450475	1745893900.3067572	185.8562822341919	2.362344264984131
27	1745893900.3304772	1745894083.9656796	183.6352024078369	0.02372002601623535
28	1745894084.064483	1745894271.9339097	187.86942672729492	0.09880328178405762
29	1745894272.0215838	1745894468.350289	196.32870531082153	0.08767414093017578
30	1745894468.4581847	1745894657.489068	189.03088331222534	0.1078956127166748
31	1745894657.5956552	1745894870.1150973	212.51944208145142	0.10658717155456543
32	1745894870.2182503	1745895058.1515634	187.9333131313324	0.10315299034118652
33	1745895060.744564	1745895267.827684	207.08311986923218	2.593000650405884
34	1745895267.9360514	1745895478.9088945	210.97284317016602	0.1083674430847168
35	1745895479.018359	1745895695.9489143	216.93055534362793	0.10946440696716309
36	1745895696.027362	1745895886.5498552	190.52249312400818	0.07844781875610352
37	1745895886.6387126	1745896108.4745324	221.83581972122192	0.08885741233825684
38	1745896108.5723915	1745896323.1696267	214.5972352027893	0.09785914421081543
39	1745896323.2844374	1745896531.7974348	208.51299738883972	0.11481070518493652
40	1745896531.9088643	1745896735.6672084	203.7583441734314	0.11142945289611816
41	1745896738.2747674	1745896930.4961114	192.22134399414062	2.6075589656829834
42	1745896930.7686749	1745897137.8186898	207.05001497268677	0.27256345748901367
43	1745897137.9344716	1745897346.5151958	208.58072423934937	0.11578178405761719
44	1745897346.5431774	1745897504.692198	158.14902067184448	0.02798151969909668
45	1745897504.8128793	1745897680.4608648	175.64798545837402	0.1206812858581543
46	1745897680.5371969	1745897858.688039	178.15084218978882	0.07633209228515625
47	1745897858.7159905	1745898048.8733962	190.1574056148529	0.027951478958129883
48	1745898048.9860556	1745898219.6466615	170.66060590744019	0.11265945434570312
49	1745898221.9564452	1745898418.954732	196.99828672409058	2.309783697128296
50	1745898418.9913769	1745898605.1488504	186.15747356414795	0.036644935607910156
51	1745898605.261393	1745898775.344727	170.0833339691162	0.11254262924194336
52	1745898775.394705	1745898946.190546	170.79584097862244	0.049978017807006836
53	1745898946.3281443	1745899121.155084	174.8269395828247	0.13759827613830566
54	1745899121.2534773	1745899254.2140675	132.96059012413025	0.09839344024658203
55	1745899254.345787	1745899422.8014584	168.4556713104248	0.13171958923339844
56	1745899422.8846421	1745899551.3290968	128.4444546699524	0.08318376541137695
57	1745899554.1670043	1745899731.4235792	177.25657486915588	2.837907552719116
58	1745899731.552512	1745899907.65929	176.10677814483643	0.12893271446228027
59	1745899907.7735639	1745900083.825364	176.05180025100708	0.1142737865447998
60	1745900083.8562524	1745900259.9855366	176.12928414344788	0.03088831901550293
61	1745900260.094028	1745900373.0238569	112.92982888221741	0.10849142074584961
62	1745900373.1654232	1745900541.610441	168.44501781463623	0.14156627655029297
63	1745900541.735076	1745900704.2896516	162.5545756816864	0.12463498115539551
64	1745900704.340559	1745900825.8973045	121.5567455291748	0.05090737342834473
65	1745900826.1294239	1745900947.8575244	121.72810053825378	0.23211932182312012
66	1745900950.220476	1745901113.0007493	162.7802734375	2.3629515171051025
67	1745901113.1349666	1745901292.9572666	179.8222999572754	0.1342172622680664
68	1745901293.0620868	1745901475.277423	182.21533608436584	0.10482025146484375
69	1745901475.3938193	1745901680.010031	204.61621165275574	0.11639642715454102
70	1745901680.160565	1745901885.6269882	205.46642327308655	0.15053391456604004
71	1745901885.7475538	1745902096.8939843	211.14643049240112	0.12056565284729004
72	1745902096.927888	1745902310.2134435	213.28555560112	0.03390359878540039
73	1745902312.8075502	1745902532.5476604	219.7401101589203	2.594106674194336
74	1745902532.582104	1745902733.8868206	201.30471658706665	0.03444361686706543
75	1745902733.9227834	1745902953.2821183	219.3593349456787	0.035962820053100586
76	1745902953.317946	1745903110.2488797	156.93093371391296	0.03582763671875
77	1745903110.4000502	1745903293.5652988	183.16524863243103	0.1511704921722412
78	1745903293.7151127	1745903443.0110953	149.29598259925842	0.14981389045715332
79	1745903443.1636052	1745903623.9618073	180.79820203781128	0.1525099277496338
80	1745903624.0062938	1745903822.9412389	198.93494510650635	0.04448652267456055
