Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1745903760.840973,170448,4,1
1,NewOrder,1745903760.845606,2903,7,1
1,NewOrder,1745903760.846916,5019,1,1
2,Payment,1745903760.847449,1016,2,1
1,NewOrder,1745903760.847617,5443,8,1
1,NewOrder,1745903760.848591,5856,7,1
2,Payment,1745903760.848591,690,2,1
2,Payment,1745903760.849295,1993,2,1
2,Payment,1745903760.849323,42799,3,1
2,Payment,1745903760.851322,78911,2,1
2,Payment,1745903760.851955,990,1,1
1,NewOrder,1745903760.852965,4009,1,1
2,Payment,1745903760.853076,43719,8,1
1,NewOrder,1745903760.854462,5919,7,1
3,OrderStatus,1745903760.856999,53405,1,1
2,Payment,1745903760.860409,1076,7,1
4,Delivery,1745903760.861504,131155,7,1
2,Payment,1745903760.864556,43983,6,1
4,Delivery,1745903760.870365,123096,5,1
1,NewOrder,1745903760.878941,4776,0,1
2,Payment,1745903760.883038,39010,9,1
2,Payment,1745903760.883735,980,0,1
1,NewOrder,1745903760.884732,2850,0,1
2,Payment,1745903760.887604,50089,0,1
2,Payment,1745903760.892151,46610,3,1
2,Payment,1745903760.896816,43266,8,1
1,NewOrder,1745903760.908565,2635,6,1
2,Payment,1745903760.910425,74194,1,1
1,NewOrder,1745903760.911216,2716,6,1
5,StockLevel,1745903760.913954,10449,6,1
2,Payment,1745903760.922069,45051,9,1
2,Payment,1745903760.924424,921,6,1
1,NewOrder,1745903760.925361,2668,6,1
1,NewOrder,1745903760.928049,4003,6,1
1,NewOrder,1745903760.930260,3281,2,1
1,NewOrder,1745903760.932072,2867,6,1
1,NewOrder,1745903760.933562,4991,2,1
5,StockLevel,1745903760.934957,8288,6,1
1,NewOrder,1745903760.937720,5238,0,1
1,NewOrder,1745903760.938571,6216,2,1
2,Payment,1745903760.938774,45113,3,1
2,Payment,1745903760.940096,556,8,1
1,NewOrder,1745903760.940664,3569,8,1
1,NewOrder,1745903760.942978,2889,0,1
2,Payment,1745903760.943265,44701,6,1
1,NewOrder,1745903760.944248,2493,8,1
1,NewOrder,1745903760.944808,2585,2,1
1,NewOrder,1745903760.945885,4673,0,1
1,NewOrder,1745903760.946758,1778,8,1
2,Payment,1745903760.947408,55725,2,1
1,NewOrder,1745903760.948552,1936,8,1
2,Payment,1745903760.950506,710,8,1
3,OrderStatus,1745903760.950585,24288,0,1
2,Payment,1745903760.951231,42982,8,1
1,NewOrder,1745903760.967143,2468,9,1
1,NewOrder,1745903760.969636,1618,9,1
3,OrderStatus,1745903760.971272,52704,9,1
2,Payment,1745903760.974895,1037,0,1
4,Delivery,1745903760.975949,121156,0,1
2,Payment,1745903760.983918,44635,3,1
1,NewOrder,1745903760.984639,6151,1,1
1,NewOrder,1745903760.987987,2855,6,1
1,NewOrder,1745903760.990818,2737,1,1
2,Payment,1745903760.990862,628,6,1
2,Payment,1745903760.991503,44999,6,1
1,NewOrder,1745903760.992675,2767,7,1
1,NewOrder,1745903760.993475,2198,5,1
2,Payment,1745903760.993568,1184,1,1
2,Payment,1745903760.994225,549,8,1
2,Payment,1745903760.994760,71215,1,1
1,NewOrder,1745903760.994783,1680,8,1
1,NewOrder,1745903760.995493,1968,7,1
2,Payment,1745903760.995688,586,5,1
2,Payment,1745903760.996286,625,5,1
2,Payment,1745903760.996475,44620,8,1
2,Payment,1745903760.996920,44571,5,1
2,Payment,1745903760.997473,43066,7,1
2,Payment,1745903761.003163,1070,2,1
5,StockLevel,1745903761.004253,8744,2,1
1,NewOrder,1745903761.011451,4039,4,1
2,Payment,1745903761.013022,1063,2,1
1,NewOrder,1745903761.014105,5115,2,1
3,OrderStatus,1745903761.015505,56554,4,1
1,NewOrder,1745903761.019248,2383,2,1
1,NewOrder,1745903761.021649,3786,2,1
2,Payment,1745903761.023993,974,9,1
2,Payment,1745903761.024983,45222,9,1
2,Payment,1745903761.025446,43945,2,1
1,NewOrder,1745903761.028568,5910,3,1
2,Payment,1745903761.034509,47467,3,1
1,NewOrder,1745903761.036529,2112,6,1
2,Payment,1745903761.038666,44560,6,1
2,Payment,1745903761.040557,559,7,1
1,NewOrder,1745903761.041113,4844,8,1
1,NewOrder,1745903761.041127,3228,7,1
2,Payment,1745903761.041502,856,5,1
2,Payment,1745903761.042369,43997,5,1
2,Payment,1745903761.044381,47621,7,1
4,Delivery,1745903761.045978,151533,8,1
2,Payment,1745903761.066002,1164,1,1
2,Payment,1745903761.067187,1089,1,1
1,NewOrder,1745903761.068294,4253,1,1
1,NewOrder,1745903761.069406,3202,2,1
2,Payment,1745903761.070221,54612,9,1
2,Payment,1745903761.072085,44301,4,1
1,NewOrder,1745903761.072563,4892,1,1
2,Payment,1745903761.072622,43527,2,1
1,NewOrder,1745903761.077479,2751,1,1
1,NewOrder,1745903761.080258,5066,1,1
1,NewOrder,1745903761.082001,3101,3,1
1,NewOrder,1745903761.083251,3401,6,1
1,NewOrder,1745903761.085125,5220,3,1
5,StockLevel,1745903761.085361,8951,1,1
1,NewOrder,1745903761.086383,2959,5,1
2,Payment,1745903761.086664,44703,6,1
4,Delivery,1745903761.089363,129593,5,1
1,NewOrder,1745903761.090365,4605,3,1
2,Payment,1745903761.092019,812,7,1
2,Payment,1745903761.092847,688,7,1
2,Payment,1745903761.093554,44639,7,1
1,NewOrder,1745903761.094330,5194,1,1
1,NewOrder,1745903761.094987,5424,3,1
1,NewOrder,1745903761.097121,2646,0,1
1,NewOrder,1745903761.099548,3195,1,1
1,NewOrder,1745903761.099778,1861,0,1
1,NewOrder,1745903761.100433,4358,3,1
1,NewOrder,1745903761.101650,3787,0,1
1,NewOrder,1745903761.102761,4400,1,1
2,Payment,1745903761.104810,47434,3,1
1,NewOrder,1745903761.105455,1476,0,1
2,Payment,1745903761.106950,44090,0,1
1,NewOrder,1745903761.107177,3527,1,1
1,NewOrder,1745903761.110729,2035,1,1
2,Payment,1745903761.112787,47323,1,1
2,Payment,1745903761.116176,1059,2,1
2,Payment,1745903761.116405,43535,4,1
1,NewOrder,1745903761.117251,4837,2,1
2,Payment,1745903761.122138,62496,2,1
2,Payment,1745903761.124860,1033,9,1
2,Payment,1745903761.125910,69947,9,1
4,Delivery,1745903761.131389,123770,6,1
2,Payment,1745903761.138220,967,7,1
2,Payment,1745903761.139205,44340,7,1
1,NewOrder,1745903761.151072,3640,0,1
1,NewOrder,1745903761.152265,3105,3,1
1,NewOrder,1745903761.154743,1691,0,1
4,Delivery,1745903761.155395,137324,3,1
1,NewOrder,1745903761.156478,2748,0,1
1,NewOrder,1745903761.159248,2181,0,1
2,Payment,1745903761.159955,551,4,1
1,NewOrder,1745903761.160124,3843,1,1
2,Payment,1745903761.160516,43918,4,1
1,NewOrder,1745903761.161444,2520,0,1
1,NewOrder,1745903761.163986,5231,1,1
1,NewOrder,1745903761.163986,1792,0,1
1,NewOrder,1745903761.165800,2989,0,1
2,Payment,1745903761.168810,46707,0,1
1,NewOrder,1745903761.169236,2402,1,1
2,Payment,1745903761.171660,1013,1,1
1,NewOrder,1745903761.172691,2911,1,1
1,NewOrder,1745903761.175625,5231,1,1
2,Payment,1745903761.180878,1034,1,1
1,NewOrder,1745903761.181923,2865,1,1
2,Payment,1745903761.183561,611,7,1
4,Delivery,1745903761.184186,125996,7,1
1,NewOrder,1745903761.184652,1602,2,1
2,Payment,1745903761.184801,819,1,1
2,Payment,1745903761.185632,57309,1,1
1,NewOrder,1745903761.186268,2741,2,1
1,NewOrder,1745903761.189031,1649,2,1
2,Payment,1745903761.190697,60384,2,1
1,NewOrder,1745903761.195881,3293,9,1
2,Payment,1745903761.197536,50928,8,1
1,NewOrder,1745903761.199193,2851,9,1
3,OrderStatus,1745903761.202067,52814,9,1
2,Payment,1745903761.204454,576,4,1
1,NewOrder,1745903761.205043,1314,4,1
4,Delivery,1745903761.206373,336358,4,1
1,NewOrder,1745903761.215572,3384,0,1
1,NewOrder,1745903761.218980,2550,5,1
1,NewOrder,1745903761.218982,3671,0,1
1,NewOrder,1745903761.221555,3380,5,1
1,NewOrder,1745903761.222673,4338,0,1
2,Payment,1745903761.224956,1057,5,1
2,Payment,1745903761.226030,47430,5,1
2,Payment,1745903761.227032,78765,0,1
1,NewOrder,1745903761.242966,1998,1,1
1,NewOrder,1745903761.244989,2243,1,1
2,Payment,1745903761.247255,611,1,1
1,NewOrder,1745903761.247885,3163,1,1
5,StockLevel,1745903761.248486,10394,8,1
1,NewOrder,1745903761.251071,1494,1,1
1,NewOrder,1745903761.251097,5499,2,1
2,Payment,1745903761.252583,1083,1,1
5,StockLevel,1745903761.253684,1362,1,1
1,NewOrder,1745903761.254896,3898,9,1
2,Payment,1745903761.255061,804,1,1
1,NewOrder,1745903761.255167,1963,6,1
2,Payment,1745903761.255882,44481,1,1
2,Payment,1745903761.256620,49264,2,1
2,Payment,1745903761.257145,779,6,1
2,Payment,1745903761.257937,754,6,1
2,Payment,1745903761.258703,593,6,1
2,Payment,1745903761.258806,782,9,1
2,Payment,1745903761.258894,1054,8,1
3,OrderStatus,1745903761.259312,57325,6,1
1,NewOrder,1745903761.259600,2291,9,1
1,NewOrder,1745903761.259963,4191,8,1
2,Payment,1745903761.261908,609,9,1
2,Payment,1745903761.262529,591,9,1
2,Payment,1745903761.263130,488,9,1
2,Payment,1745903761.263628,483,9,1
2,Payment,1745903761.264121,833,9,1
1,NewOrder,1745903761.264170,3633,8,1
2,Payment,1745903761.264965,43487,9,1
1,NewOrder,1745903761.267828,4582,8,1
