Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.800,3.663,1.111,1.437,3.409,4.976,7.309,8.744,10.449,10.449,0.273
5,18.200,1.651,0.989,1.282,1.437,2.011,2.348,2.417,3.274,3.274,0.606
10,17.400,1.498,1.106,1.284,1.407,1.581,2.009,2.108,2.733,2.733,0.668
15,19.200,1.503,0.983,1.274,1.369,1.777,1.981,2.126,2.284,2.284,0.665
20,20.600,1.457,1.149,1.258,1.358,1.510,1.967,2.036,2.206,2.228,0.686
25,20.800,1.461,1.032,1.255,1.341,1.661,1.947,2.051,2.132,2.544,0.684
30,21.800,1.441,1.045,1.254,1.351,1.542,1.932,2.018,2.185,2.251,0.694
35,16.000,1.414,1.070,1.223,1.341,1.444,1.856,2.067,2.290,2.290,0.707
40,21.600,1.409,1.098,1.257,1.339,1.458,1.810,1.964,2.182,2.191,0.710
45,19.600,1.427,0.982,1.265,1.332,1.456,1.932,2.073,2.204,2.204,0.701
50,18.000,1.520,1.165,1.258,1.399,1.744,2.052,2.137,2.482,2.482,0.658
55,15.600,1.492,1.080,1.261,1.396,1.636,2.051,2.115,2.213,2.213,0.670
60,2.600,1.334,1.102,1.248,1.332,1.352,1.368,1.931,1.931,1.931,0.750
