Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,435.200,23.212,0.429,1.742,3.118,44.119,55.331,80.782,184.189,336.358,0.043
5,443.000,22.577,0.382,1.676,2.768,43.833,56.815,79.678,167.491,343.209,0.044
10,445.600,22.261,0.379,1.526,2.582,43.788,61.853,80.492,157.364,282.907,0.045
15,475.000,20.978,0.347,1.465,2.630,43.666,52.968,78.912,145.135,283.197,0.048
20,450.600,22.264,0.330,1.454,2.552,43.800,60.840,79.561,156.580,289.001,0.045
25,465.000,21.530,0.320,1.460,2.520,43.569,60.267,80.845,161.293,274.361,0.046
30,478.200,20.815,0.357,1.377,2.381,43.625,52.873,77.782,161.813,389.437,0.048
35,463.400,21.749,0.365,1.426,2.407,43.469,57.794,79.232,157.732,300.809,0.046
40,466.200,21.259,0.322,1.370,2.362,43.519,54.354,79.114,151.112,387.358,0.047
45,457.600,22.012,0.336,1.418,2.471,43.524,59.721,80.483,160.684,334.057,0.045
50,469.000,21.280,0.355,1.455,2.417,43.353,54.603,78.628,158.469,401.452,0.047
55,427.800,23.285,0.339,1.469,2.565,43.753,62.995,104.486,156.202,360.807,0.043
60,87.600,21.206,0.363,1.328,2.390,43.503,51.699,78.616,160.505,202.024,0.047
