Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.200,45.098,13.904,19.882,52.588,57.287,62.729,87.188,111.107,111.107,0.022
5,21.400,49.000,16.061,22.309,57.139,62.424,67.908,98.255,110.563,113.367,0.020
10,16.800,51.140,19.224,23.920,61.576,65.150,71.899,78.084,116.317,116.317,0.020
15,18.600,54.872,19.184,23.885,62.213,68.240,91.315,103.462,118.746,118.746,0.018
20,19.200,52.343,18.724,27.161,62.209,64.076,72.197,88.947,113.470,113.470,0.019
25,19.800,52.704,19.049,20.052,62.156,66.757,96.446,104.678,121.423,121.423,0.019
30,13.600,47.215,19.041,20.342,61.029,63.823,74.848,81.902,105.594,105.594,0.021
35,15.800,50.702,18.838,27.658,61.777,64.344,75.244,104.266,109.473,109.473,0.020
40,20.600,46.930,18.933,20.035,36.342,64.896,84.857,95.718,111.151,119.959,0.021
45,16.200,50.274,19.231,21.945,62.474,64.655,72.377,77.933,119.162,119.162,0.020
50,19.000,52.266,19.106,21.614,62.092,64.088,80.261,110.384,114.394,114.394,0.019
55,15.600,48.852,19.111,20.020,62.025,63.676,79.942,110.228,111.514,111.514,0.020
60,3.800,47.356,18.901,19.856,62.479,63.675,66.741,88.257,88.257,88.257,0.021
