Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,196.400,30.702,0.384,0.733,43.554,45.482,58.086,77.035,80.321,82.526,0.033
5,199.000,29.400,0.368,0.608,43.510,44.968,57.392,78.037,81.001,84.335,0.034
10,189.800,30.289,0.369,0.633,43.596,45.140,55.351,74.201,80.325,84.980,0.033
15,190.800,30.249,0.380,0.592,43.420,44.929,55.232,77.836,80.220,122.357,0.033
20,192.600,30.963,0.356,0.609,43.525,45.123,57.423,78.546,80.486,97.133,0.032
25,186.400,30.529,0.312,0.569,43.445,44.668,56.111,76.844,79.789,90.117,0.033
30,193.800,31.107,0.339,0.560,43.481,44.905,56.610,77.803,79.824,82.323,0.032
35,207.600,30.256,0.319,0.540,43.501,44.752,55.480,77.716,80.276,130.309,0.033
40,199.600,30.420,0.336,0.556,43.387,44.589,56.595,77.663,80.174,83.664,0.033
45,194.600,29.816,0.327,0.542,43.370,44.724,52.962,76.431,79.138,92.539,0.034
50,196.800,29.616,0.332,0.565,43.346,44.842,53.825,76.330,79.961,126.591,0.034
55,203.200,29.703,0.332,0.560,43.420,44.700,55.161,73.869,79.570,90.352,0.034
60,44.600,24.215,0.363,0.518,0.915,44.411,54.150,67.009,79.191,81.070,0.041
