Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1747988984.098447,718,6,1
1,NewOrder,1747988984.099250,1825,6,1
2,Payment,1747988984.101095,676,6,1
2,Payment,1747988984.101786,987,6,1
2,Payment,1747988984.102789,78493,6,1
1,NewOrder,1747988984.118465,3200,0,1
1,NewOrder,1747988984.121686,3896,0,1
1,NewOrder,1747988984.123500,2729,7,1
2,Payment,1747988984.125593,837,0,1
2,Payment,1747988984.126252,44433,7,1
1,NewOrder,1747988984.126436,1796,0,1
1,NewOrder,1747988984.128241,3073,0,1
1,NewOrder,1747988984.130235,2607,3,1
2,Payment,1747988984.131322,45276,0,1
4,Delivery,1747988984.132857,94529,3,1
1,NewOrder,1747988984.137543,1916,4,1
2,Payment,1747988984.139480,43523,4,1
1,NewOrder,1747988984.170715,2820,7,1
1,NewOrder,1747988984.173561,3478,7,1
4,Delivery,1747988984.176627,243323,0,1
5,StockLevel,1747988984.177053,2321,7,1
1,NewOrder,1747988984.179396,2338,7,1
2,Payment,1747988984.181304,57373,6,1
1,NewOrder,1747988984.181753,2049,7,1
3,OrderStatus,1747988984.183018,14759,4,1
2,Payment,1747988984.183818,56375,7,1
5,StockLevel,1747988984.197799,3306,4,1
5,StockLevel,1747988984.201137,1263,4,1
1,NewOrder,1747988984.202418,3156,4,1
1,NewOrder,1747988984.205602,4042,4,1
1,NewOrder,1747988984.207377,2619,5,1
2,Payment,1747988984.209664,47546,4,1
1,NewOrder,1747988984.210011,3897,5,1
1,NewOrder,1747988984.213934,2362,5,1
1,NewOrder,1747988984.216321,4419,5,1
3,OrderStatus,1747988984.220425,16754,2,1
1,NewOrder,1747988984.220759,2793,5,1
2,Payment,1747988984.221069,48044,8,1
1,NewOrder,1747988984.223326,2968,1,1
5,StockLevel,1747988984.223569,3754,5,1
2,Payment,1747988984.226314,767,1,1
1,NewOrder,1747988984.227103,3240,1,1
1,NewOrder,1747988984.227333,3407,5,1
2,Payment,1747988984.227400,889,3,1
2,Payment,1747988984.228301,764,3,1
2,Payment,1747988984.229074,712,3,1
